Presentation Title,Description or Abstract,Org_1_id,Org_2_id,Org_3_id,Org_4_id,Org_5_id,Org_6_id,Org_7_id,Topic_1,Topic_2,Topic_3,Academic_Discipline_1,Academic_Discipline_2,OfficeDepartment1,OfficeDepartment2,Tags,PresentationDate,ConferenceName,PresType,Author1_Name,Author1_Org_ID,PositionTitle_1,Author2_Name,Author2_Org_ID,PositionTitle_2,Author3_Name,Author3_Org_ID,PositionTitle_3,Author4_Name,Author4_Org_ID,PositionTitle_4,Author5_Name,Author5_Org_ID,PositionTitle_5,Author6_Name,Author6_Org_ID,PositionTitle_6,Author7_Name,Author7_Org_ID,PositionTitle_7,Author8_Name,Author8_Org_ID,PositionTitle_8,File1_URL,File2_URL,File3_URL,File4_URL
Rising to Meet the Challenge of 100% Renewable Energy,"Campuses are increasingly looking to renewable energy as the most financially attractive strategy for making dramatic reductions in greenhouse gas (GHG) emissions and achieving their GHG goals. The costs of renewables has dropped significantly and, as a result, campuses are rapidly adopting onsite solar. While onsite solar is highly visible, it is rarely sufficient to meet GHG goals. This workshop covers a portfolio of approaches that can be part of a comprehensive strategy. Specifically, this workshop will: - provide a process for campuses to identify strategies appropriate to their size, location, and energy context - outline key considerations for executing a comprehensive renewable energy strategy - review case studies from three campuses targeting 100% renewables with three different sets of challenges and opportunities. Topics will include: - on-campus solar sites; community solar; offsite projects, including regulated and deregulated markets, and out-of-state solutions; aggregating to achieve scale; stakeholder management; academic integration.",2869,2246,5184,,,,,Energy,Coordination & Planning,,,,,,"renewable energy,solar",10/2/2018,AASHE,Presentation,Rob Andrejewski,2869,Director of Sustainability,Dennis Carlberg,2246,Sustainability Director,Christen Blum,5184,Managing Director, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/7874/0830_Carlberg_0290.pptx,,,
A Billion Dollar Deal: Public-Private Energy Partnership Advances Campus Effort Beyond Efficiency,"In July 2017, Ohio State launched an innovative approach to sustainably manage its building energy use, in a manner that will provide significant energy management knowledge and financial capital back to the university to further the university's academic and sustainability goals. Through a 50 year, $1.165 billion lease agreement, the university has transferred the operation of its energy delivery assets to Ohio State Energy Partners (OSEP), a private sector entity consisting of energy industry experts. One portion of this agreement requires OSEP to make the university's Columbus campus buildings 25% more energy efficient within a decade. In addition, OSEP will invest $150 million back into the university to help achieve the university's academic and sustainability goals, including student scholarships and internships, faculty and curriculum endowments, sustainability fund endowment, annual philanthropic giving, and a new visionary project to advance energy-related innovations from the research lab to the private sector market. This creative management agreement creates new financial resources for the university without creating bonded debt. More details about this innovative sustainability partnership and program are available at: https://www.osu.edu/energymanagement/",2335,7576,,,,,,Energy,Investment & Finance,,,,,,"energy management,public-private partnerships",10/4/2018,AASHE,Presentation,Mike Shelton,2335,"Associate Director, Office of Energy & Environment",Gina Langen,2335,"Sustainability Staff, Ofc of Energy and Environment",Serdar Tufekci,7576,CEO and Member of Ohio State Energy Partners, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8189/1400_Shelton_0595.pdf,,,
Off Site Solar - A Group Effort,"Amherst, Bowdoin, Hampshire, Smith and Williams colleges-signed an agreement in February 2018 to purchase off-site renewable electricity. This agreement will facilitate the construction of a 'utility scale' solar power facility in Farmington, Maine. This project will be a groundbreaking demonstration as the first collaborative purchase of New England-generated renewable electricity by higher education institutions. By joining together, the participating institutions are able to access project developers and pricing that would not otherwise be available to each individually. This project is addition, includes RECs and in our electrical region.",4705,59,2649,2270,,,,Energy,Purchasing,,,,,,"solar,off-site solar",10/4/2018,AASHE,Presentation,Dano Weisbord,4705,Director of Sustainability and Campus Planning,Amy Johns,59,"Director, Zilkha Center for Environmental Initiatives",Laura Draucker,2649,Director of Sustainability,Keisha Payson,2270,Assistant Director Sustainability, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/7949/1400_Weisbord_0375.pptx,,,
Getting to 100% Renewable Electricity,"Colorado State University (CSU) signed the Climate Reality Pledge in January 2017 - pledging to achieve 100% renewable electricity by 2030. Since electricity is responsible for ~50% of CSU's GHG footprint, this aligned well with CSU's existing ACUPCC pledge and goal to achieve carbon neutrality by 2050. The University of Denver (DU) has committed to 5% onsite renewables and 20% offsite renewables by 2025, with an interim goal of 24% GHG reduction by 2020, on the way to carbon neutrality by 2050. Even before all these commitments were made, university staff at both institutions have been working toward achieving these goals. Easy? Not easy? Some US states have 'retail choice' - where customers can choose their electricity provider. Colorado is not one of those states. Our electricity provider is determined strictly by geography - customers are stuck with the utility that serves that location - and with that utility's generation 'mix'. How do we get to 100% renewable electricity when: 1) the current mix is about mostly coal 2) we lack retail choice and 3) we intend to take physical delivery of the renewable electricity? This session will cover the paths taken, the bridges crossed and the chasms yet to span. In spite of barriers, throughout 2018, CSU and DU will be actively pursuing our ambitious renewable electricity goals - and may have success to report and share. Let's talk! UNSDG Goals: #7, ensuring access to affordable, reliable, sustainable and modern energy.",828,2186,,,,,,Energy,Purchasing,,,,,,renewable energy,10/3/2018,AASHE,Presentation,Carol Dollard,828,Energy Engineer,Stacey Baumgarn,828,Campus Energy Coordinator,Chad King,2186,Sustainability Director, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/7931/1045_Dollard_0355.pdf,,,
Scaling UP Renewable Energy Beyond Campus,"The Paris Agreement (at the moment) represents civilizations best path forward for global action and accountability of our collective reduction in harmful greenhouse gas emissions. What happens when a significant player backs away? The 'We are still in' movement has captured the attention of a broad coalition of parties committed to the Paris Agreement, specifically, the United States Climate Alliance. New York State is a committed member. New York State, also, has a large number of Colleges and Universities with firm commitments for Climate Action. Through grassroots networking and mutual goals, the New York Campus Aggregate Renewable Energy Solutions (NYCARES) coalition is in the process of pooling our need and our resources for a large portion of New York State's Commitment to supporting the Paris Agreement. This session will explore key milestones of developing the public / private partnership, garnering both internal and external institutional support, risk assessment, economies of scale beyond a single owner / buyer, and other legal / contractual aspects of Large Scale Renewable Energy (LSRE) development. Our coalition is building on examples beyond New York State in an effort to push the limits of what is accepted to what is expected of policy and governance for LSRE.",1427,3066,,,,,,Energy,Air & Climate,Public Engagement,,,,,"renewable energy,large-scale renewable energy",10/4/2018,AASHE,Presentation,Matthew Brubaker,1427,Campus Energy Manager,Sarah Zemanick,3066,Director of Campus Sustainability, ,,, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8473/0915_Brubaker_0860.pdf,https://files.aievolution.com/ash1801/events/8473/0915_Brubaker_0860_1019_224058.pdf,,
Transforming Our Tomorrow - A New Clean Energy Vision,"Whenever, I run into a problem I can't solve, I always make it bigger. I can never solve it by trying to make it smaller, but if I make it big enough I can begin to see the outlines of a solution.' This wise counsel from President Dwight D. Eisenhower, helped us rethink our approach to achieving our clean energy goals and provided us with a new frame that is beginning to demonstrate how we can scale climate change mitigation efforts to provide maximum impact both on our campus and beyond. The Localizing our Renewable Energy Future initiative--spearheaded by the University at Buffalo--aims to invest in the region while reducing energy costs for a who's who of Buffalo-area anchoring institutions (City of Buffalo, Erie County, University at Buffalo, Buffalo State College, and SUNY Erie Community College). The effort is also working to help save taxpayer dollars while creating more efficient budgeting for the participating institutions. There are three specific objectives that are being addressed: 1) The establishment of 100 new megawatts of renewable energy--enough to provide 50% of clean energy needs for participating partners, mostly in the form of solar power, by 2020. 2) The creation of clean energy student engagement space for curricular and experiential learning activities as well as sustainability oriented groups on campus and local non-profits focused on clean energy. 3) Expanding our clean energy curriculum and creating the next generation of clean energy.",1306,5184,,,,,,Energy,,,,,,,"renewable energy,solar",10/3/2018,AASHE,Presentation,Tonga Pham,1306,Associate Vice President for University Facilities,Christen Blum,5184,Managing Director,Ryan McPherson,1306,Chief Sustainability Officer, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/7856/0915_McPherson_0278.pptx,,,
The Impact of Real-time Visual Feedback on Electric Consumption at Middlebury College,"The typical associations with 'energy efficiency' are production oriented. However, in order to make a meaningful impact, these innovative production solutions need to be matched equally with creative ways to reduce consumption (SDG #12: 'Responsible Consumption and Production'). In a world of global connectedness, the only indication of electric use to the average consumer is in the form of a bill at the end of the month. For college students, even that small notion is lost, severing all connection between behavior and ecological impact. The first step to bridging this gap in institutions of higher education is transparency around resource consumption. In three buildings (12 townhouse apartments) at Middlebury College, LED strips were installed to provide residents with real-time feedback on their current electric usage, as compared to a baseline. The creative design behind this project is a prime example of interdisciplinary collaboration, bringing together students, faculty in three departments, and facilities staff members. Moreover, the design of the device does not rely on a third-party, meaning that it can be morphed for applications in countless other sustainability projects across campus (e.g., an alert system to reduce peak loads, building competitions, art installations showing all-campus consumption). In addition to the strength of the learning model, the LED strips have significantly changed the way that the residents engage with electric consumption.",532,,,,,,,Energy,Buildings,Campus Engagement,,,,,"behavior change,energy reduction",10/4/2018,AASHE,Presentation,Thomas Wentworth,532,Undergraduate Student,John Byrne,532,"Director, Office of Sustainability Integration", ,,, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8088/0830_Wentworth_0512.pdf,,,
Creating a Successful Campus Temperature Policy,"Heating and cooling account for more than 60% of Wesleyan's energy and carbon footprint. In 2013, Wesleyan's Utilities Manager estimated that we could reduce our energy consumption 20%, or approximately $1.6 million, through basic conservation measures. To address this, Wesleyan established its first Energy Conservation Policy, which identified target temperature ranges in campus buildings. Four years in, we have seen great success, including decreases in energy consumption and greater buy-in campus-wide for energy conservation. The foci of the policy are: 1. Reducing the environmental impact of Wesleyan through energy conservation makes us a more responsible steward of the planet's resources. This reduction in energy usage improves local air quality, global air quality through reduced carbon emissions, and reduced need for natural gas. 2. Wesleyan has spent millions on energy conservation efforts over the past 15 years, but until the policy, very little had been done to invite students and employees to play a role in this process, instead making reduction of energy costs the 'the administration's job.' Energy conservation through this policy allows us to divert utility funding to campus projects that further improve energy efficiency and encourage conservation, as well as to invest in renewable energy. 3. Discomfort issues nullified Wesleyan's past attempts at temperature guidelines. In implementing this policy, we created comfort suggestions and educational materials and worked with each department on campus to ensure their considerations were accounted for in plan development. Wesleyan is one of few schools that have successfully implemented such a policy. Gaining buy-in from our campus president on down that this new policy is 'what we do' at Wesleyan has helped immensely in making this policy culturally successful . This policy has overall been a success on campus with tangible results, decreasing our environmental impact and energy costs.",3771,,,,,,,Energy,Buildings,Campus Engagement,,,,,"energy conservation,temperature controls",10/3/2018,AASHE,Poster,Jennifer Kleindienst,3771,Sustainability Director, ,,, ,,, ,,, ,,, ,,, ,,, ,,,https://files.aievolution.com/ash1801/events/8994/1430_Kleindienst_0281.pdf,,,
Student-Developed Energy Management Information System,"Like many other educational institutions, our college cares about the efficient use of energy and seeks ways to reduce its impact on the environment. We promote energy-wise behavior among students, faculty, and staff; however, their overall effect is limited. The greater return on investment lies with a handful of people, usually facilities staff. We have realized that using real-time data with the help of an energy management information system (EMIS) can better affect the return for individual projects. This is accomplished by evaluating energy efficiency, forecasting future consumption, detecting abnormal energy use and optimizing overall efficiency. Like all institutions, we have limited financial resources and staff, so we have employed low-cost electricity meters. We struggled with visualizing and leveraging data in a standard spreadsheet program, which provides far less analysis than that of an EMIS; so, we have created a solution to overcome these limitations. As a model of both Urban Sustainability and a Living Laboratory, the Sustainability Office hired a first-year computer science major to develop an interactive web portal featuring various visualizations including a heat map, as well as a tool for automated meter data collection. This solution proved to be an invaluable tool for our energy manager and other facilities staff. Together during this presentation, we will explore the process of creating an interactive and intuitive dashboard.",4603,,,,,,,Energy,Buildings,Coordination & Planning,,,,,"students,energy management,dashboards",10/2/2018,AASHE,Presentation,Tomas Panek,4603,Student; Developer at Sustainability Office,Kurt Miller,4603,Sustainability Project Coordinator, ,,, ,,, ,,, ,,, ,,, ,,,,,,
Infusing Energy Management with Classroom Scheduling,"Western Technical College integrated its classroom scheduling software with its building automation system software in the summer of 2017. This project allows us to control the heating and cooling of occupied rooms only, therefore reducing the wear and tear on our equipment while saving energy. Learn from our experience about how we implemented this project and about the benefits, drawbacks and challenges we have encountered in integrating these complicated software systems.",1960,,,,,,,Energy,Buildings,Curriculum,,,,,"building automation,classrooms",10/3/2018,AASHE,Poster,Genevieve Mortenson,1960,Western Technical College, ,,, ,,, ,,, ,,, ,,, ,,, ,,,,,,
Turning Energy Challenges into Solutions at Higher Education Facilities,"While budget cuts and finite resources can often act as hurdles to enacting energy efficiency improvements, these investments can produce long-term and unmatched benefits that significantly reduce overall energy expenses and improve the energy-related equipment, infrastructure, and systems at higher education facilities. Constellation, one of the country's leading energy providers, helps higher education institutions achieve their sustainability goals, develop energy resiliency strategies, and manage their costs and capital expenditure liabilities. Energy efficiency upgrades can generate millions in savings within a single year. Having worked with colleges and universities nationwide including Ohio University, Mercyhurst University, Salem State University, and the University of Maryland, Constellation is uniquely positioned to speak about large-scale, innovative energy overhaul projects. Having overseen many of these projects, Marc Aronson, Senior Business Development Manager, and Bob Belyea, Principal Technical Sales Manager, can discuss how performance-based energy efficiency and sustainability solutions can help higher education facilities address their energy challenges. They will also speak to specific strategies that can assist colleges and universities in improving their current energy utilization. Their extensive knowledge of the logistical and financial components associated with these energy projects, particularly with academic institution contracts, will allow you and your team to leave with a comprehensive understanding of how you can effectively save on your bottom line through energy efficiency measures.",7105,,,,,,,Energy,Buildings,,,,,,"energy efficiency,large-scale renewable energy",10/3/2018,AASHE,Poster,Marc Aronson,7105,Senior Business Development Manager,Bob Belyea,7105,Principal Technical Sales Manager, ,,, ,,, ,,, ,,, ,,, ,,,,,,
Paying for Sustainable Development from Wasted Energy,"The World Green Building Council posits that green buildings support nine UN Sustainable Development Goals (SDGs). Public-Private Partnerships (P3) have become a popular mechanism for higher education institutions to transform existing infrastructure to green buildings. Outsourcing construction, financial, and operational risks enable higher-ed institutions to upgrade energy infrastructure, lower energy consumption, enhance campus sustainability, and create better learning environments. Financing barriers arise as public higher-ed institutions are often unable or unwilling to invest funds in energy efficiency projects and higher-priority needs demand limited funds. Hence, institutions often seek external financing for these types of projects. However, financial institutions are generally reluctant to provide loans for multiple reasons, such as perceived high-risk energy efficiency projects. The use of public-private partnerships can utilize private-sector financing. In this approach, the customer engages a commercial service provider to design and implement an improvement project with its compensation connected to the performance of the project. Generally some form of performance guarantee (such as a guarantee of energy savings) is provided by the service provider. A few examples of P3 benefits include no upfront capital needed, various financing mechanisms available, project risk displacement, and turnkey service. P3 helps university leadership secure funding, find ongoing support, and align future funding, while engaging students in the project as learning experiences. From a decade of experience at Kutztown and UMass Dartmouth Universities, we will explore the merits of P3 projects that benefit people employed by, and living on, their campus. Two university (Public) and two energy service company (Private) speakers will discuss the impact of their project (Partnership) on students, faculty, staff, and the community as they relate to nine UN SDGs.",2059,,,,,,,Energy,Buildings,Investment & Finance,,,,,"energy savings performance contracting,public-private partnerships",10/3/2018,AASHE,Poster,Scott Finlinson,2059,"Manager, Green Operations",Deanna McPeak,2059,Program Specialist, ,,, ,,, ,,, ,,, ,,, ,,,,,,
Using Sub-Metering to Prioritize and Measure Energy Management Projects,"Every institution faces limitations as it relates to spending money. These limitations can be on operating budgets, staffing levels, or both. It is paramount while operating within these limits to direct resources towards the most important projects. But how do you know which are the most important? As a result of installing low-cost sub-meters, the College has been able to prioritize energy efficiency projects that have saved considerable funds and millions of kilowatt hours of electricity. Additionally, after a project, the College has been able to use the sub-meter data to verify the effectiveness of each of the projects. This verifications is critical for both processing rebates to utilities as well as tracking our progress in reducing greenhouse gas emissions. Join us for this session to learn how you can identify, prioritize, and verify energy management projects.",4603,,,,,,,Energy,Buildings,Water,,,,,"energy metering,energy efficiency",10/3/2018,AASHE,Presentation,Kurt Miller,4603,Sustainability Project Coordinator, ,,, ,,, ,,, ,,, ,,, ,,, ,,,,,,
