Presentation Title,Description or Abstract,Organization1,Organization1_id,Organization2,Organization2_id,Organization3,Organization3_id,Organization4,Organization4_id,Organization5,Organization5_id,Organization6,Organization6_id,Organization7,Organization7_id,SustainabilityTopic1,SustainabilityTopic2,SustainabilityTopic3,AcademicDiscipline1,OfficeDepartment1,Tags,PresentationDate,ConferenceName,PresType,Author1_Name,Author1_Title,Author1_Org,Author1_OrgID,Author2_Name,Author2_Title,Author2_Org,Author2_OrgID,Author3_Name,Author3_Title,Author3_Org,Author3_OrgID,Author4_Name,Author4_Title,Author4_Org,Author4_OrgID,Author5_Name,Author5_Title,Author5_Org,Author5_OrgID,Author6_Name,Author6_Title,Author6_Org,Author6_OrgID,Author7_Name,Author7_Title,Author7_Org,Author7_OrgID,Author8_Name,Author8_Title,Author8_Org,Author8_OrgID,File1,File2,File3,File4
"Longitudinal Sustainability Literacy and Culture Assessment for Students, Faculty, and Staff - Lessons Learned and Results","As more institutions increase their focus on sustainability both academically and operationally, the need for measurement increases. Currently, there is no common tool for measuring sustainability literacy, the culture of sustainability, and the effectiveness of education and outreach efforts on campuses. We have spent the last few years reviewing efforts in this space from across the country and developing our own tools. We will review a Sustainability Literacy, Culture, and Applied Knowledge survey, a Sustainability Knowledge Assessment, and a Sustainability Cultural Indicators program. We will outline the tools we reviewed, highlight changes we made over the years to develop a more effective tool of measuring literacy, culture, and applied knowledge on campus, and discuss evaluation and monitoring over time. These efforts can be cumbersome and we hope that this work can continue to evolve so others can have a streamlined approach and perhaps work toward a common approach.",Arizona State University,4531,University of Michigan,1744,Michigan State University,0439,,,,,,,,,Campus Engagement,Curriculum,,,,"sustainability literacy,assessment,campus culture",10/17/2017,AASHE,Presentation,Corey Hawkey,Assistant Director,Arizona State University,4531,John Callewaert,"Emerging Opportunities Director, Graham Sustainability Institute",University of Michigan,1744,Adam Zwickle,Assistant Professor,Michigan State University,0439,,,,,,,,,,,,,,,,,,,,,0915_Hawkey_2261.pptx,,,
Black Hills Food Hub: Rural Food Hubs Serving a Wider Demographic,"Black Hills State University and Spearfish community partners are creating a culture that supports and values local food in order to expand the reach and depth of our regional local food economy. The Black Hills Food Hub, launched in October 2016, is unique in that it benefits a large number of citizens from a wide demographic. A food hub takes the produce from many farms, adds it all together, and then sells it to customers. This allows some farmers to specialize in a few crops that they prefer to grow and to have a venue for sales that they otherwise would not have. The food hub eliminates barriers of purchasing local food on cafeteria management, reducing the time and organization needed for both ordering and delivery. Additionally, large-quantity commitments from buyers lend unprecedented support to the local food economy. While a food hub in itself is not unique today, we have taken the food hub model beyond the traditional catering to high-end restaurants and marketed local food instead to cafeterias. By servings cafeterias, the Black Hills Food Hub aims to get local food to the greatest number of people from diverse backgrounds. Additionally, the Black Hills Food Hub is unique to the area and designed to be replicable in remote and rural areas, where high-end dining is few and far between. The food hub delivers food on the same day as picked from the field, ensuring the highest quality product with unbeatable flavor and nutritional value.",Black Hills State University,0603,,,,,,,,,,,,,Public Engagement,Food & Dining,,,,"local foods,community partnerships",10/17/2017,AASHE,Presentation,Kathy Johnson,Vice President for Finance & Administration,Black Hills State University,0603,Randy Culver,Associate Vice President for Facilities & Sustainability,Black Hills State University,0603,Katie Greer,"Assistant Director, Facilities Services",Black Hills State University,0603,,,,,,,,,,,,,,,,,,,,,1445_Greer.pdf,,,
Climate Action (re)Boot Camp!,"Join us for a climate action boot camp! This workshop will provide a refresher on the basic components of climate action planning, and bring you up to date on reporting requirements for each Climate Leadership Commitment. Join us whether it's your first time completing a greenhouse gas inventory, or you've been an Implementation Liaison for ten years. In this workshop we will cover: 1) completing a GHG inventory and using the new UNH CarbonMap; 2) best practices for creating and updating your Institution's Climate Action Plan; 3) Second Nature's new Reporting Platform and reporting timelines; 4) basic elements of a Resilience Assessment for Climate Commitment signatories; and 5) how to effectively communicate these findings to Senior Leadership and inspire action.",Second Nature,0123,University of New Hampshire,0724,,,,,,,,,,,Air & Climate,Coordination & Planning,,,,"climate commitments,climate action plans",10/18/2017,AASHE,Presentation,Ruby Woodside,Innovative Services Manager,Second Nature,0123,Janna Cohen-Rosenthal,Climate Programs Director,Second Nature,0123,Jennifer Andrews,Project Director,University of New Hampshire,0724,,,,,,,,,,,,,,,,,,,,,0830_CohenRosenthal.pdf,,,
Thinking Beyond the Fork: Utilizing the Campus Food Truck as a Vehicle for Teaching Sustainability,"What do you get when you combine a university food truck, a chef, a farmer, and a FoodCorps service member? The University of North Carolina Wilmington's Campus Dining program along with local community partners Feast Down East, FoodCorps North Carolina, Centripetal Farms, and UNCW Sustainability have found a unique way to connect university resources and curriculum with experiential education in local public Title I elementary schools. With several farm to school events under their belt, this team has worked with students to make sweet potato pancakes from scratch, traveled to global food destinations, and is cooking up future plans to engage more students and their families. These meaningful community projects serve as a vehicle to promote sustainable engagement within the community. Through this outdoor, food truck classroom, university students are able to transfer knowledge and skills that will enable and empower younger generations to become more self-reliant and connected to sustainability related to their local food system. These skills include real world exposure to new types of food and cooking skills, developing an understanding of the benefits of purchasing local and growing one's own food, and making authentic connections to their classroom curriculum. This session will include a demonstration of this farm to school model, lessons learned, and recommendations and resources for application at other institutions.","University of North Carolina, Wilmington",0740,Aramark Higher Education,3691,,,,,,,,,,,Public Engagement,Food & Dining,,,,"k-12,local foods",10/16/2017,AASHE,Poster,Marie Davis,Sustainability Coordinator,"University of North Carolina, Wilmington",0740,Matt Rogers,Resident District Manager,Aramark Higher Education,3691,Kat Pohlman,Sustainability Captain,"University of North Carolina, Wilmington",0740,,,,,,,,,,,,,,,,,,,,,1500_Davis_2208.pdf,,,
Translating sustainability education and community action into solidarity by engaging underrepresented students in living labs,"Living laboratories are increasingly becoming an important part of sustainability education at all levels. Many living laboratories enable participants to show 'internal' solidarity with classroom learning and 'external' solidarity with community actions. However, participants, particularly students of color, LGBTQ students, first generation students, and international students, are frequently underrepresented and may struggle to translate their own participation into real-world applications. Furthermore, developing, implementing, and measuring tangible outcomes regarding inclusivity and diversity in living laboratories is challenging. Colorado State University (CSU) and Dickinson College are two very different institutions; CSU is a large state institution with more than 33,000 students and Dickinson is a small, residential liberal arts institution with 2,400 students, but both have well-developed living laboratories that have many of the same successes and failures engaging and supporting underrepresented students. We believe that implementing a few key practices with living laboratories enables the generation of greater solidarity throughout the institution and community.",Dickinson College,3185,Colorado State University,0828,,,,,,,,,,,Campus Engagement,Diversity & Affordability,,,,"living labs,underrepresented groups",10/17/2017,AASHE,Presentation,Marcus Welker,Sustainability Learning Coordinator,Dickinson College,3185,Heather Reimer,Assistant Director,Colorado State University,0828,Tonie Miyamoto,,Colorado State University,0828,,,,,,,,,,,,,,,,,,,,,1445_Welker_2207.pptx,1445_Welker_2207.pdf,,
STARS Town Hall,This interactive session will feature a presentation from AASHE staff about the ongoing technical development of STARS and a high-level discussion about potential improvements to the program. This session will also provide an opportunity for attendees to pose questions and provide feedback on some 'big ideas' or 'hot topics' that have arisen. This will be a great opportunity to learn more about the technical development of STARS and to have your voice be heard in how the program evolves.,AASHE,5016,Loyola University Chicago,1865,Colorado State University,0828,,,,,,,,,Coordination & Planning,,,,,STARS,10/17/2017,AASHE,Presentation,Chris Pelton,STARS Program Manager,AASHE,5016,Aaron Durnbaugh,Director of Sustainability,Loyola University Chicago,1865,Carol Dollard,Energy Engineer,Colorado State University,0828,,,,,,,,,,,,,,,,,,,,,1245_Pelton_2908.pdf,,,
"Surplus Assets Deserve to be Reused, Not Discarded","Every school generates surplus assets, every day. Computers, dorm and classroom furniture, supplies, desks and chairs, bookcases and storage shelves. The list is endless. Sadly, even though they have years of remaining life, most of these assets end up in the trash. Reuse is a much better solution. At Western Kentucky, the Earn-A-Computer program (a partnership of the Surplus Dep't, IT staff, and Student Government Ass'n) refurbishes and awards a Mac computer to students who complete 35 hours of volunteer service. In its first semester, the program provided computers to 20 students and spawned 940 hours of service. At Colorado State, the Surplus Property Dep't goes campus-wide to capture thousands of surplus items each year. These are either resold (which funds the program, and returns money to campus departments), or recycled appropriately. As a result, essentially no usable surplus reaches the landfill. Working nationwide, IRN-The Reuse Network annually recovers millions of pounds of surplus assets from replacements and renovations, which are provided to charities for disaster relief and economic development. The process is simpler than calling in dumpsters, and the cost is less. Each of these programs is cost-effective. Each generates campus and community goodwill. Each yields large environmental and social benefits. And each is proven. Participants will leave this session with the practical knowledge to give surplus assets what they deserve: a new life.",Western Kentucky University,1816,IRN - The Recycling Network,6556,Colorado State University,0828,,,,,,,,,Waste,,,,,"reuse,surplus",10/17/2017,AASHE,Presentation,Elizabeth Gafford,Coordinator of Resource Conservation,Western Kentucky University,1816,Mark Lennon,,IRN - The Recycling Network,6556,Jake Drenth,,Colorado State University,0828,,,,,,,,,,,,,,,,,,,,,1445_Drenth.pptx,,,
Sustainability Solidarity on Multi-Campus Community Colleges,"Community colleges with a single sustainability office but multiple campuses in different cities and locations face challenges to create a sustainability solidarity that extends to all sites. One main campus might seem to receive all of the benefits while the other sites can feel disengaged from moving forward with initiatives. Engaging employees and students on all campuses can be an overwhelming task, and key individuals who are not engaged often with the sustainability office are unlikely to promote change. Challenges and success stories from Central Community College and Cuyahoga Community College will highlight how employees and students have been engaged in sustainability at each institution and multiple campuses through projects, events, and education. We will discuss the sustainability solidarity that has resulted from this collaboration.",Central Community College,4372,Cuyahoga Community College,0952,,,,,,,,,,,Campus Engagement,Coordination & Planning,Public Engagement,,,community colleges,10/16/2017,AASHE,Poster,Benjamin Newton,Environmental Sustainability Director,Central Community College,4372,Olivia Whittaker,Environmental Sustainability Manager,Central Community College,4372,David November,Sustainability Manager,Cuyahoga Community College,0952,,,,,,,,,,,,,,,,,,,,,,,,
Building Our Capacity for Taking Action Together,"Sustainability education needs more emphasis on developing skills necessary for students to engage in effective collective action (CA). This presentation will showcase coursework and projects at Green Mountain College and Daemen College that can serve as replicable models for integrating CA skills into campus and regional sustainability efforts. Four courses at Green Mountain College united by the theme 'Envisioning a Sustainable and Resilient North Country' served as the main vehicle for holistic development of CA skills. Students learned non-violent communication techniques applying them to the contentious issue of Syrian refugee resettlement locally. They learned how to create information artworks that could humanize abstract sustainability concepts and unify diverse audiences. After facilitating their own participatory process, they evaluated their skills and identified paths towards improvements. The Sustainable Design seminar at Daemen College was redesigned to more effectively guide students from clarifying problems and opportunities for intervention, through solution development and implementation, using 'we'deas to emphasize everyone's contributions to developing solutions. Existing online training resources from National Wildlife Federation Ecoleaders and others supplemented learning. These tools helped students develop their own mission and understand their personal capacity and areas for further growth.",Green Mountain College,1195,Daemen College,0976,,,,,,,,,,,Curriculum,,,,,"skill development,infusing sustainability",10/16/2017,AASHE,Presentation,William Throop,Professor of Philosophy and Environmental Studies,Green Mountain College,1195,Katelyn Mann,Research Assistant,Green Mountain College,1195,Brenda Young,"Professor, Global & Local Sustainability",Daemen College,0976,,,,,,,,,,,,,,,,,,,,,0830_Young.pptx,,,
Bees on Campus: Student Engagement in Sustainable Practices,"Our presentation will discuss the benefits and implications of using beekeeping to engage university students, faculty and staff in sustainable practices. Our goal is to stress the importance of pollinators such as bees in both urban and rural environments, reflecting the diversity of university locations. Institutions such as the government and large companies are beginning to make sustainability more fashionable and accessible, but in order to change the culture surrounding it and get more people to participate to a greater extent, it is important to familiarize the public with practices such as beekeeping. Actions such as recycling and even gardening are more mainstream, but beekeeping is often seen as something exotic and exclusive. Colleges should give students the opportunity to keep bees on campus because of the enhancement of the culture of sustainable engagement and living. With the correct training and engagement, beekeeping can be easily practiced by anyone. Beekeeping is crucial for the health of the environment, and should be noticed as such on college campuses.",Trinity University,2593,"Portland Community College, Rock Creek Campus",1122,,,,,,,,,,,Campus Engagement,,,,,"bees,pollinators",10/16/2017,AASHE,Presentation,Abigail Bowen,Student,Trinity University,2593,Madelyn Gaharan,Student,Trinity University,2593,Elaine Jane Cole,Sustainability Coordinator,"Portland Community College, Rock Creek Campus",1122,,,,,,,,,,,,,,,,,,,,,0830_Cole_2654.pptx,0830_Cole_2654.pdf,,
Food Waste Interventions,"Information will be shared about Portland State's No Scraps Left Behind (NSLB) program at the PSU Dining Hall, the residential compost program, donations to PSU's food pantry, & public space compost options. During NSLB, food waste is measured & displayed in a visual food waste buffet. Students complete surveys of their perceptions of food waste. Signage & resources are provided about food preparation & portioning & campus composting. Information will be shared about the University of Denver collaboration between Sodexo, the DU Center for Sustainability, & the campus' Food Recovery Network chapter to reduce food waste. The Weigh the Waste Audit measures food waste in the 2 main DU dining halls. Other strategies were implemented to reduce food waste - a back of the house tracking system, utilizing student developed campaigns, Try a Taste campaign, incorporating Sodexo employees' ideas to create solutions, & working with students to create new dishes. Information will also be shared about an undergraduate food & nutrition course project to reduce food waste in Georgia Southern University's Dining Commons. Students measured food waste & students' attitudes about food waste, designed an intervention & marketing plan to educate students about food waste, & measured food waste & student attitudes post intervention. Successes & challenges of the programs will be shared. Audience members will be encouraged to share their experiences with decreasing food waste & engaging students.",Portland State University,2515,Sodexo,3600,Georgia Southern University,1135,,,,,,,,,Waste,Food & Dining,,,,food waste,10/16/2017,AASHE,Presentation,Nancy Nordman,,Portland State University,2515,Mandilyn Beck,Sustainability Coordinator,Sodexo,3600,Rebecca Larson,"Clinical Instructor of Nutrition & Food Science, Dietetic Internship Assistant Director",Georgia Southern University,1135,,,,,,,,,,,,,,,,,,,,,1130_Larson.pdf,1130_Beck.pptx,,
Diversity Social: Solidarity Can Be Fun!,"Continue the recent conversation on the GreenSchools listserv about diversity challenges facing our field and what your needs are as a sustainability professional striving to speak to social justice challenges! This session features space to capture your feedback about how to solve challenges like diversifying sustainability officers, as well as questions you may have about your role in advancing social justice. Your feedback supports the AASHE Advisory Council Diversity Committee's work to think proactively about how our community can best address these needs. Come to this session for small-group conversations with others who share your passions and curiosity and be prepared to leave with at least one new connection to help you meet your diversity knowledge and action goals. Feel free to drop in and out of this very informal session as you please!",Princeton University,2597,Fair Trade Colleges & Universities,0787,Indiana University South Bend,1350,,,,,,,,,Diversity & Affordability,,,,,"social justice,sustainability officers",10/17/2017,AASHE,Presentation,Caroline Savage,Campus as a Living Lab Manager,Princeton University,2597,Kylie Nealis,National Organizer,Fair Trade Colleges & Universities,0787,Krista Bailey,Center for a Sustainable Future/Director,Indiana University South Bend,1350,,,,,,,,,,,,,,,,,,,,,1245_Savage.pptx,,,
Learning for Sustainability Core Competencies Through an Evidence Based Internship Program,"The Wesustain Internship Program is a semester-long, paid, discovery-driven opportunity for ambitious students seeking to gain leadership experience while exploring both on and off campus sustainability projects. This program provides students from all academic backgrounds with a sturdy foundation to begin creating a more sustainable future for all. We aim to bring together a diverse and inclusive cohort of emerging leaders that will learn the skills and dispositions to solve pressing sustainability challenges. Throughout the semester students tackle a wide range of comprehensive and robust sustainability topics, ranging from alternative transportation to behavior analysis, permaculture to social justice, and zero waste to systems thinking. Weekly readings, journaling sessions, discussion meetings, and hands-on activities give interns the experiential skills necessary to become sustainability ambassadors in their careers, communities, and beyond. This exploratory structure is aimed towards meeting specific learning objectives which are drawn from our learning for sustainability core competencies research. Each semester students are given pre- and post- assessments based on specific learning objectives which provide us with cumulative data, qualitative feedback, and anecdotal evidence relating to the efficacy of our internship program over the past four years. The resulting information has fueled our continual process of action, assessment, reflection, revision, and growth.",Western Michigan University,1817,,,,,,,,,,,,,Campus Engagement,Coordination & Planning,,,,"leadership,internships",10/17/2017,AASHE,Presentation,Laura Donders,,Western Michigan University,1817,Isaac Green,,Western Michigan University,1817,Harold Glasser,ED for Campus Sustainability & Professor,Western Michigan University,1817,,,,,,,,,,,,,,,,,,,,,0830_Green_2748.pdf,,,
Social Learning Platform and Collaborative Design Process for a Net Positive Outdoor Sustainability Learning Center,"The Outdoor Education Space project is a process-centric approach to designing a net-positive education and retreat space that intends to procure community engagement by collectivizing the ideas presented and deliberated through a multi-stage process involving the campus, community, and industry collaborators. Rather than contract a company to design this space, we have chosen to design the space by utilizing a core team of students and professors with a broad variety of expertise. Our team is also, significantly, bringing the community into the design process. By involving the community voice early in development, we can look forward to having a shared space that is comfortable, usable, and inclusive for all members of the community. This process is critical to the success of the space; without a community's emotional investment into the space, we cannot hope to achieve the goal of a collectively designed space that is consistently full of activities, workshops, and learning opportunities pertaining to sustainability and the outdoors. Intrinsic to this project is the process we are developing that will go beyond sustainable building design. Our team is developing a broad-based, multi-stage, community charrette process to identify a rich set of desirable design elements and building attributes. This set must be culled strategically-the identification of synergies and assessment of multi-attribute trade-offs cannot happen based on a priori principles.",Western Michigan University,1817,,,,,,,,,,,,,Buildings,Coordination & Planning,,,,"social learning,building design",10/16/2017,AASHE,Presentation,Isaac Green,,Western Michigan University,1817,Kelsey Pitschel,Outdoor Education Space Co-Lead,Western Michigan University,1817,Harold Glasser,ED for Campus Sustainability & Professor,Western Michigan University,1817,,,,,,,,,,,,,,,,,,,,,0830_Green_2288.pdf,,,
Catch: A Face-to-Face Dynamic Simulation Game for Teaching About Renewable Natural Resource Management and Sustainability,"Catch© is free, fun and innovative, face-to-face systems dynamic simulation game that responds to the need for new, core-competency based pedagogical resources for teaching about the challenges of transformative change and the forms of learning that are necessary to meet the UN Sustainable Development Goals. Catch© was created as a response to Fishbanks, a game originally created by Dennis Meadows in 2001. Fishbanks, which has the goal of maximizing individual team's net worth, has been heralded as a superb tool for teaching about the 'Tragedy of the Commons'. Alternatively, Catch© uses two ostensibly conflicting goals to explore the possibility of eliciting a much broader and richer range of common pool resource management and decision-making. The game has two systems goals: (1) Catch as many fish as you can and (2) leave as many fish in the sea as possible and utilizes a common pool resource setting, with realistic resource dynamics, that produces a systematic effect on the socio-ecological simulated environment. Various face-to-face groups from around the world have played the game with great effect. In this session, we propose to introduce Catch©, play a full game, debrief, and discuss game management so that attendees are fully prepared use Catch© on their own campuses or in their own organizations.",Western Michigan University,1817,,,,,,,,,,,,,Curriculum,,,,,"gamification,games,students",10/18/2017,AASHE,Presentation,Harold Glasser,ED for Campus Sustainability & Professor,Western Michigan University,1817,Isaac Green,,Western Michigan University,1817,Laura Donders,,Western Michigan University,1817,,,,,,,,,,,,,,,,,,,,,,,,
Supporting Students' Sustainability Learning and Emotional Resilience with Reflection and Contemplation,"How do we foster the cognitive complexity, ethical development, and personal resolve required for this 'sustainability century?' Tackling complex, systemic problems requires nuanced interdisciplinary understandings and the ability to engage multiple perspectives. It also requires profound cultural shifts and collective work among inclusive communities. This participatory session, suitable for faculty, student affairs staff, and other academic leaders, will provide a rationale as well as examples for incorporating reflective and contemplative practices into sustainability studies. These approaches help students pause, deepen their awareness, think more carefully, and work more effectively with the complexity and controversy they may face in the years ahead. Since 2009, a faculty learning community in the Pacific Northwest led by the Curriculum for the Bioregion Initiative has developed strategies to enhance students' capacities to listen across differences, navigate their fear, grief, and despair, build their understanding of the roots, scale, and interconnectedness of sustainability problems, and to engage in community as an antidote to paralysis and cynicism. Our goal is to strengthen students' resolve for long-term engagement and resilience in a future where sustainability is paramount. This workshop will share a number of these strategies and additional resources to build or deepen reflective and contemplative pedagogies with your students.","Evergreen State College, The",3959,Western Washington University,1876,Peninsula College,2022,,,,,,,,,Curriculum,Wellbeing & Work,,,,"faculty learning communities,faculty",10/15/2017,AASHE,Presentation,Jean MacGregor,"Director, Curriculum for the Bioregion","Evergreen State College, The",3959,Marie Eaton,"Director, Palliative Care Institute",Western Washington University,1876,Holly Hughes,"Adjunct Faculty, English",Peninsula College,2022,,,,,,,,,,,,,,,,,,,,,1300_MacGregor_2218.pdf,1300_MacGregor_2218_1010_162143.pdf,,
Throwing in the Towel: Lessons Learned from Launching a Paper Towel Compost Program,"Waste diversion is a common thread woven throughout Austin Community College District's sustainability goals. With 11 current campus locations and new facilities added continuously, the footprint of the district is substantial. ACC has gotten creative in identifying waste streams - even ones that you literally 'wash your hands of' - to realize its waste diversion goals. ACC has successfully implemented paper towel composting at 6 of its 11 campuses, with the aim to realize the program districtwide by September 1, 2017. There is also a complimentary organic composting program through the college's culinary arts program. These program helps ACC attain its waste diversion goals and aligns with the City of Austin's Zero Waste goal to achieve 90% diversion city-wide by 2040. Paper towel composting at ACC serves as a highly visible and participatory educational mechanism for the more than 43,000 students, faculty and staff who utilize restroom facilities. ACC values both education and the district's potential to inspire real change in the Austin area. In this session, ACC will share its lessons learned including ways to maximize program effectiveness while reducing cost and minimizing custodial maintenance requirements. The presentation will also discuss engagement tools and operational considerations to fully integrate paper towel composting into the fiber of the district.",Austin Community College,2066,,,,,,,,,,,,,Waste,Campus Engagement,Coordination & Planning,,,"paper towels,compost",10/17/2017,AASHE,Presentation,Alyssa Halle-Schramm,,Austin Community College,2066,Caleb Crow,,Austin Community College,2066,Andy Kim,"Director, Energy & Sustainability",Austin Community College,2066,,,,,,,,,,,,,,,,,,,,,0830_HalleSchramm_2450.pdf,,,
Student-led community food access initiative,"A student-led garden was started on the campus grounds at Johnson C. Smith University in the fall of 2012. This initiative was put into place to address food security issues in the community surrounding the university, which falls in a food insecure/food desert area as well as to create awareness within the student and campus population. The garden consists of 18 raised beds as well as a greenhouse, cold frame and aquaponics facility. We have also recently installed a walk-in refrigerator for produce conservation. Produce grown on our grounds in the initial three years of operation was given as food donation to the community free of cost, but we have subsequently, in the interest of sustainability partnered with our local health department to start a local farmers' market. We report our journey, successes and challenges in this summit workshop.",Johnson C. Smith University,2104,,,,,,,,,,,,,Food & Dining,Campus Engagement,,,,"gardens,students,food security,aquaponics",10/15/2017,AASHE,Presentation,Taryn Strickland,,Johnson C. Smith University,2104,Frandy Prince,Student,Johnson C. Smith University,2104,Jania Rodriguez,Student,Johnson C. Smith University,2104,,,,,,,,,,,,,,,,,,,,,,,,
Jumping Through Hoops for Zero-Waste,"This presentation will guide students in how to work with different levels of administration like Athletics, Facilities, Sodexo, and sports fans. Often as students, it's hard to make connections with higher levels of administration and gain their undivided support. There will also be information about joining forces with other existing sustainability groups, and assurance that student-led programs can continue to be funded and ultimately transition cohesively from year to year. The presenters will use the Greening the Game zero-waste athletics initiative at the University of Arizona along with the Athletics Recycling team at the University of Denver as a concurrent case study. Both teams started in the early 2010s at their respective universities and have expanded into at least three sports since their inception. This presentation will also include best data tracking methods and reporting, detailing how to write one-page reports that catch the eye of the reader and highlight key numbers. Lastly, this presentation will help students apply the success from Athletics to a campus-wide scenario.",University of Arizona,4465,University of Denver,2186,,,,,,,,,,,Waste,,,,,zero waste,10/15/2017,AASHE,Presentation,Lilian Engel,Student,University of Arizona,4465,Renee Colmenares,,University of Arizona,4465,Maddy Ober,Zero Waste Community Manager,University of Denver,2186,,,,,,,,,,,,,,,,,,,,,1130_Colmenares.pdf,,,
"A Relay-Race, not a Sprint: Advancing Campus as Lab in Solidarity","Campus as a Living Laboratory' is a rapidly evolving strategy for deploying innovative and utilitarian sustainability strategies. Presenters from diverse geographic locations and institution types examine the differences and similarities across 'Campus as Lab' programs on their campuses, including structure, staffing, focus, linkages to broader institutional goals, and more, with an emphasis on replicable methods for starting or improving Campus as Lab programs at attendees' institutions. Plan to spend at least half of this session in small-group conversation with presenters and attendees exploring different facets of how Campus as Lab strategies might augment your sustainability efforts.",Princeton University,2597,Johnson County Community College,2128,University of Calgary,2243,,,,,,,,,Campus Engagement,Curriculum,,,,living labs,10/17/2017,AASHE,Presentation,Caroline Savage,Campus as a Living Lab Manager,Princeton University,2597,Jay Antle,"Executive Director, Center for Sustainability",Johnson County Community College,2128,Rachelle Haddock,"Project Coordinator, Campus as a Learning-Lab",University of Calgary,2243,,,,,,,,,,,,,,,,,,,,,1445_Savage_2101.pptx,,,
Finding the Sustainability Sweet Spot: Where Operations and Education Converge,"Education for sustainable development requires an interdisciplinary approach. Yet, few organizations are ready to embrace the dynamism that breeds collaborative academic success. Like academic disciplines, college operations are too frequently siloed, lack adequate resources, and take safe harbor in doing things the way they have always been done. Campus as a living laboratory can be used to bridge divides within and between academia and operations to truly institutionalize sustainability. In this interactive session, attendees will have a chance to problem solve to the benefit of the entire educational institution by using CaaLL. Additionally, attendees will learn about approaches taken at Portland Community College and the University of Calgary. The diverse views and approaches of these organizations can be leveraged to launch, accelerate, or refine any sustainability program at any school.",Portland Community College,2505,University of Calgary,2243,,,,,,,,,,,Campus Engagement,Curriculum,,,,"living labs,on-campus collaboration",10/16/2017,AASHE,Presentation,Briar Schoon,Sustainability Manager,Portland Community College,2505,Aine Keogh,"Associate Director, Operational Sustainability and Reporting",University of Calgary,2243,Rachelle Haddock,"Project Coordinator, Campus as a Learning-Lab",University of Calgary,2243,,,,,,,,,,,,,,,,,,,,,0915_Schoon.pdf,,,
Gamification and Socialization of Sustainable Habits at Boston University Using the JouleBug Mobile App,"This session will be an overview of the JouleBug sustainability platform, as well as a discussion of Boston University's specific experience with the platform, from both a student and administrative perspective. JouleBug encourages and rewards sustainable behavior as users interact with JouleBug's mobile app, available for iOS and Android. As users share their sustainable actions and keep up with others' in the activity feed, they have the option to share to broader social networks like Facebook and Twitter. Universities can easily conduct competitive or collaborative challenges, with students participating as individuals or as part of a team. Universities can create these challenges using JouleBug's existing content (e.g. water conservation, energy consumption, waste diversion, transportation) in addition to being able to create content unique to their campus community. A web-based kiosk interface is provided for administering the app's content, creating user notifications, and reviewing usage metrics and impact analytics (CO2 Saved, Water Saved, Waste Diverted). sustainability@BU has a long history of engaging students and faculty in sustainability programs. JouleBug has enabled BU to extend its initiatives into the palm of every student's and employee's hands. JouleBug has added a fun, competitive aspect to initiatives such as BU's Dorm Energy Challenge and annual Sustainability Festival and provides another way to reward the community for excellent participation.",Joulebug,8298,Boston University,2246,,,,,,,,,,,Campus Engagement,,,,,"behavior change,gamification,games,information technology",10/17/2017,AASHE,Presentation,Grant Williard,President and Co-Founder,Joulebug,8298,Dennis Carlberg,Sustainability Director,Boston University,2246,Alexandra Chin,sustainability@BU Intern,Boston University,2246,,,,,,,,,,,,,,,,,,,,,1400_Williard_2442.pptx,,,
Flow State Organizations: Organizational Design for Sustainability,"Our existing organization model has proven to be incapable of the pace, depth and breadth of change that the sustainability agenda requires. We need to co-create flow state organizations that balance high levels of engagement & inclusion, sensing and adaptation with efficient structure, focused leadership & execution. This session addresses our shared need for unleashing human creativity, healthy social dynamics and adaptive responses to navigate the 21st Century. We address governance, decision-making and idea flow to unleash high levels of change capability, innovation & agility throughout your organization. CONTENT Content & care stories are fresh, real & validated at executive education programs at Harvard University. Case studies shared in this workshop include: -Catalyzing rapid diffusion of Sustainability across curricula by re-imagining our Organizational Systems (Hawaii System) - Whole Systems Campus Masterplanning (UBC) - Engaging Senior Leaders (Swarthmore) LEARNING OUTCOMES - Learn the flow sate organizational model, lexicon & visuals - Advance abilities to catalyze positive cultural shifts - Learn about Idea Flow - the life cycle of an idea from inception to full implementation - so that new ideas can emerge from anywhere and succeed - Improve governance decision making architecture to increase organizational agility - Identify pathways for deepening engagement executive teams, scale successful pilot projects & foster peer-to-peer learning",Harvard University,4451,University of Hawaii System Office,2269,,,,,,,,,,,Campus Engagement,Coordination & Planning,,,,"planning,change management,organizational design",10/15/2017,AASHE,Presentation,Leith Sharp,"Director, Executive Education for Sustainability Leadership",Harvard University,4451,Matthew Lynch,System Sustainability Coordinator,University of Hawaii System Office,2269,Krista Hiser,Professor and System Sustainability Curriculum Coordinator,University of Hawaii System Office,2269,,,,,,,,,,,,,,,,,,,,,,,,
