Program Name,Description or Abstract,Organization1,Organization1id,Sustainability Topic1,Sustainability Topic2,Academic Discipline1,Academic Discipline2,Academic Discipline3,Tag1,Tag2,Tag3,Program Type,Learning Outcomes,Expected Completion Time,Website1label,Website1URL
Master of Science in Building Performance & Diagnostics (MSBPD),"The Master of Science in Building Performance & Diagnostics (MSBPD) degree program is intended for practitioners, researchers, and educators in architecture and the building industry who wish to be leaders in advanced building technologies and building performance outcomes. The program is based on the premise that the integrated design of building and community systems is critical for environmental sustainability and human health and productivity. The MSBPD is a building science and research-oriented program, with technical depth for careers in sustainability-focused professional practice, environmental research and consulting, the building industry, or pursuing a PhD in Building Science. ",Carnegie Mellon University,2849,Curriculum,Buildings,Architecture,,,construction,,,Master's Degree,,,Master of Science in Building Performance & Diagnostics (MSBPD),https://soa.cmu.edu/bpd
PhD in Building Performance & Diagnostics (PhD),"The PhD in Building Performance & Diagnostics degree program is intended for practitioners, researchers, and educators in architecture and the building industry who wish to be leaders in advanced building technologies and their performance.",Carnegie Mellon University,2849,Curriculum,Buildings,Architecture,,,construction,,,Doctoral Degree,,,PhD in Building Performance & Diagnostics,https://static1.squarespace.com/static/54c2a5c7e4b043776a0b0036/t/56ab87b3fb36b139e8f7cf04/1454081971773/cmu_phdbpd_1_26_16.pdf
Civil and Environmental Engineering (MS),"The Civil and Environmental Engineering graduate degree programs develop deep knowledge in a specialized concentration of one of three focus areas with challenging interdisciplinary course work. The focus areas include: Advanced Infrastructure Systems (AIS), Environmental Engineering, Sustainability and Science (EESS), and Environmental Engineering, Sustainability and Science (EESS)",Carnegie Mellon University,2849,Curriculum,,Engineering,,,civil engineering,environmental engineering,,Master's Degree,,,Civil and Environmental Engineering (MS),https://www.cmu.edu/cee/prospective/graduate-degree/masters/index.html
Civil and Environmental Engineering (PhD),"PhD students participate in education and research that strives to advance the engineering science fundamentals of the civil and environmental engineering disciplines. Doctoral candidates develop an individualized program of study in one of three major focus areas: Advanced Infrastructure Systems (AIS), Environmental Engineering, Sustainability, and Science (EESS), and Mechanics, Materials and Computing (MMC). The program is highly interdisciplinary, often approaching problems with teams of faculty and students bringing different skills, insights and methods from different disciplines.",Carnegie Mellon University,2849,Curriculum,,Engineering,,,civil engineering,environmental engineering,,Doctoral Degree,,,Civil and Environmental Engineering (PhD),https://www.cmu.edu/cee/prospective/graduate-degree/phd/index.html
Architecture-Engineering-Construction Management (MS),"The AECM programs prepare building-delivery professionals for careers in capital project delivery dealing with the entire life-cycle of capital projects, from pre-design to design, construction, commissioning, operation, and maintenance stages. It focuses on the integration of design and technology, particularly advanced information systems, as a means of both improving building performance and enhancing environmental sustainability.",Carnegie Mellon University,2849,Curriculum,Buildings,Architecture,Engineering,,civil engineering,construction,,Master's Degree,,,MS Architecture-Engineering-Construction Management,https://soa.cmu.edu/msaecm
Architecture-Engineering-Construction Management (PhD),"The PhD-AECM degree program is intended for practitioners, researchers, and educators in engineering, architecture, construction management fields, and other professionals in the building industry who wish to be pioneers and advanced leaders in management technologies and their application to the built environment.",Carnegie Mellon University,2849,Curriculum,Buildings,Architecture,Engineering,,civil engineering,construction,,Doctoral Degree,,5 years,PhD Architecture-Engineering-Construction Management,https://soa.cmu.edu/phdaecm
Engineering & Public Policy (MS),Engineering and Public Policy offers a MS program that helps students with technical backgrounds address policy issues focused on science and technology.,Carnegie Mellon University,2849,Curriculum,,Engineering,Public Administration & Policy,,environmental engineering,environmental policy,,Master's Degree,,,MS Engineering & Public Policy,https://www.cmu.edu/epp/prospective/ms-in-epp/index.html
Engineering and Public Policy (PhD),Engineering and Public Policy offers a doctoral program that helps students with technical backgrounds address policy issues focused on science and technology.,Carnegie Mellon University,2849,Curriculum,,Engineering,Public Administration & Policy,,environmental engineering,environmental policy,,Doctoral Degree,,,PhD Engineering and Public Policy,https://www.cmu.edu/epp/prospective/doctoral-studies/index.html
Environmental and Sustainability Studies (BA),"The majors (B.A.) in Environmental & Sustainability Studies integrate perspectives of the natural sciences, social sciences, and arts and humanities. Students work with a diverse group of faculty from across campus to learn how to gather and integrate information about environmental problems from multiple disciplines, to think critically about the causes of environmental problems, to propose effective solutions and evaluate their strengths and weaknesses, and to communicate their ideas clearly.","University of North Carolina, Greensboro",0738,Curriculum,,Sustainability Studies & Science,Environmental Studies & Sciences,,sustainability studies,,,Baccalaureate degree,,,Environmental and Sustainability Studies (BA),https://ges.uncg.edu/environment-sustainability/env-sust-major/
Sustainable Tourism and Hospitality (BS),"This program teaches students to solve complex problems by using sustainable development tools and a triple-bottom line approach, which considers social, environmental, and financial factors. The major helps develop the skills to think innovatively and entrepreneurially annd communicate effectively. The program also increases global awareness through international experience, and engage in sustainability-focused tourism and hospitality courses, work experience, and community projects.","University of North Carolina, Greensboro",0738,Curriculum,,"Recreation, Leisure, & Tourism",,,ecotourism & sustainable tourism,hospitality,,Baccalaureate degree,,,Sustainable Tourism and Hospitality (BA),https://bryan.uncg.edu/programs/undergraduate/major/ba-in-hospitality-and-tourism/
Minor in Sustainability Studies (BA),"The Environmental and Sustainability Studies Program's minor builds on the unique definition of sustainability at UNCG, where ""Academics, operations, and outreach are conducted with careful attention to the enduring interconnectedness of social equity, the environment, the economy, and aesthetics.""","University of North Carolina, Greensboro",0738,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Minor,,,Minor in Sustainability Studies,https://ges.uncg.edu/environment-sustainability/sust-minor/
Geography (BA),"The Department of Geography, Environment, and Sustainability offers a program which has three principal objectives: to promote the understanding of the locational dimensions of human behavior in their environmental context; to offer a curriculum in which geographic concepts and methods are applied to understanding economic, environmental and social problems at the urban and regional scale; and to promote international understanding through area studies.","University of North Carolina, Greensboro",0738,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,Baccalaureate degree,,,Geography (BA),https://ges.uncg.edu/undergraduate/
Environmental Health Science (PhD),"Students in the Environmental Health Science (EHS) PhD program will be trained in the fundamental understanding of environmental problems and their consequences on human health and well-being. Core courses will focus on the effects on environmental perturbations on ecosystem and community function and species survival, and toxicological consequences on physiological and cellular processes, as well as genome structure and gene function.","University of North Carolina, Greensboro",0738,Curriculum,,Health Sciences & Medicine,,,environmental health,,,Doctoral Degree,,,Environmental Health Science (PhD),https://biology.uncg.edu/graduate/phd-environmental-health-science/
Sustainability and Environment (MS),"Focusing on the interconnectedness of social equity, the environment, the economy, and aesthetics, the customizable M.S. in Sustainability & Environment (MSS&E) is designed for professionals pursuing sustainability in any field. ","University of North Carolina, Greensboro",0738,Curriculum,,Sustainability Studies & Science,Environmental Studies & Sciences,,sustainability studies,,,Master's Degree,,,Sustainability and Environment (MS),https://ges.uncg.edu/ms-in-sustainability-environment/
Environmental Engineering (BSE),"Civil and Environmental Engineering practice encompasses a wide range of specialties, including: construction management, engineering mechanics, environmental engineering, geotechnical and foundation engineering, hydraulics, intelligent transportation systems, irrigation and drainage, materials engineering, structural engineering, surveying and site engineering, urban planning and development, urban transportation, water and waste water treatment system design, water resources planning and management, hazardous waste site remediation, and waterway, port, coastal and ocean engineering.",University of Massachusetts Lowell,1729,Curriculum,,Engineering,,,environmental engineering,,,Baccalaureate degree,,,Environmental Engineering (BSE),https://www.uml.edu/Catalog/Undergraduate/Engineering/Departments/Civil-Environmental/Majors.aspx
Environment and Society Minor,"Environment and Society is an interdisciplinary minor that provides students with analytical and communication skills, as well as the scientific foundation needed to succeed in environmental planning, environmental policy, sustainable development, environmental education, and other fields. Topics explored include climate change, sustainability, resource rights, law and regulation, environmental ethics, and the role of environmental issues in domestic and international conflicts.",University of Massachusetts Lowell,1729,Curriculum,,Environmental Studies & Sciences,Public Administration & Policy,,,,,Minor,,,Environment and Society Minor,https://www.uml.edu/Catalog/Undergraduate/FAHSS/Programs/Interdisciplinary-Programs/Environment-and-Society-minor.aspx
Energy Engineering Minor,"In the Energy Engineering minor, students develop a foundation in the engineering and policy behind energy. Energy engineers are leading the way to a cleaner, safer future across the globe. From designing small off-grid, solar-powered agricultural water pumps in Peru to improving the reliability of towering wind turbines off the coast of Rhode Island, students and graduates in this program make a positive impact on society and the environment.",University of Massachusetts Lowell,1729,Curriculum,Energy,Engineering,Environmental Studies & Sciences,,environmental engineering,energy,,Minor,,,Energy Engineering Minor,https://www.uml.edu/Catalog/Undergraduate/Engineering/Programs/Energy-Enginnering-Minor.aspx
Work Environment (MS),"The Master of Science in Work Environment program provides training and research on the identification, characterization and control of chemical, physical, psychosocial and biological risks associated with work environments as well as in understanding and developing respect for the complex social, political and economic context in which environmental and occupational health problems must be studies and addressed. The model of research and education integrates a rigorous scientific methodology with practical collaboration with the region's industry, labor, communities and governments to design safer and cleaner systems of production.",University of Massachusetts Lowell,1729,Curriculum,Wellbeing & Work,Health Sciences & Medicine,Environmental Studies & Sciences,,environmental safety,,,Master's Degree,,,Work Environment (MS),https://www.uml.edu/catalog/graduate/health-sciences/public-health/wemaster-of-science.aspx
Work Environment (PhD),"The Doctor of Science in Work Environment program provides training and research on the identification, characterization and control of chemical, physical, psychosocial and biological risks associated with work environments as well as in understanding and developing respect for the complex social, political and economic context in which environmental and occupational health problems must be studies and addressed. The model of research and education integrates a rigorous scientific methodology with practical collaboration with the region's industry, labor, communities and governments to design safer and cleaner systems of production.",University of Massachusetts Lowell,1729,Curriculum,Wellbeing & Work,Health Sciences & Medicine,Environmental Studies & Sciences,,environmental safety,,,Doctoral Degree,,,Work Environment (PhD),https://www.uml.edu/Health-Sciences/Public-Health/Programs-of-Study/Environment-Policy.aspx
Cleaner Production/Pollution Prevention (ScD),"In Clean Production, the goal is to create a cradle-to-cradle process with minimal negative impact and maximum positive impact on human health and the environment. Cleaner Production Processes conserve raw materials and energy, eliminate toxic materials and reduce the generation of wastes and emissions.",University of Massachusetts Lowell,1729,Curriculum,Wellbeing & Work,Health Sciences & Medicine,Public Administration & Policy,,environmental safety,environmental health,,Master's Degree,,,Cleaner Production & Pollution Prevention (ScD),https://www.uml.edu/Health-Sciences/Public-Health/Programs-of-Study/CleanerProd-PollutionPrev.aspx
Environmental Biotechnology Graduate Certificate,"This certificate combines courses that explore the ecological impact of anthropogenic environmental change with courses that provide training in current biological technologies that can be brought to bear on environmental problems. Advancements in biotechnology include the biological remediation of pollutants, biological treatment of wastewater and drinking water, source tracking of microbial pathogens, and mitigation of toxic algal blooms.",University of Massachusetts Lowell,1729,Curriculum,,Technology & Trades,Engineering,,technology,environmental engineering,,Graduate Certificate/Diploma,,,Environmental Biotechnology Graduate Certificate,https://www.uml.edu/Catalog/Graduate/Engineering/Civil-Environmental-Engineering/Graduate-Certificates.aspx#Sustainable%20Infrastructure%20for%20Developing%20Nations
Energy Conversion Graduate Certificate,"Energy conversion is a discipline that spans across three departments: Electrical, Mechanical and Chemical & Nuclear Engineering. Interest is rising for practical applications in the housing industry to supply houses with clean sources of energy to meet electrical supply needs, as well as for space heating/ cooling. All renewable energy sources will be considered (e.g. wind energy and photovoltaics). Information about batteries, battery charging stations, battery chargers and energy conversion devices (such as rectifiers, inverters, choppers, controllers) is presented as related to the development of low emission vehicles.",University of Massachusetts Lowell,1729,Curriculum,Energy,Engineering,,,renewable energy,environmental engineering,,Graduate Certificate/Diploma,,,Energy Conversion Certificate,https://www.uml.edu/Catalog/Graduate/Engineering/Electrical-Computer-Engineering/Graduate-Certificates.aspx#Energy
Geography (BIS),"The Bachelor of Integrated Studies (BIS) is an interdisciplinary degree that allows you to select 3 areas or emphases: ethnic studies, urban/regional planning, and other geographic emphases to develop a contract of courses with the departments of choice. A final capstone project is required, which brings together the 3 areas of emphases.",Weber State University,4562,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,Baccalaureate degree,,,Geography (BIS),https://weber.edu/geography/bis.html
Environmental Studies Minor,"The Environmental Studies Minor is an interdisciplinary degree that focuses on the work of science in human activity. The curriculum is rooted in science to ground factual knowledge. However, its trunk is solidly comprised of social science and humanities courses because they teach the application of science in policy-making, business decisions and historical precedent even as they call upon the arts for their expression and upon ethics in consideration of health and social justice issues. The minor reaches across campus because all disciplines play an essential role in shaping environmental thought.",Weber State University,4562,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Minor,,,Environmental Studies Minor,https://catalog.weber.edu/preview_program.php?catoid=15&poid=7059&returnto=4596
Sustainability for Business Graduate Certificate,The Graduate Certificate in Sustainability for Business is designed for graduate students to explore and evaluate how business organizations can address sustainability issues to meet societal needs and create competitive advantages. Students must complete four courses (minimum of 12 credit hours) of existing MBA elective courses in environmental sustainability in order to be awarded the Graduate Certificate in Sustainability for Business. The certificate can be completed along with the MBA Degree at the Goddard School of Business and Economics or as a stand-alone certificate.,Weber State University,4562,Curriculum,,"Business, Management, & Finance",Sustainability Studies & Science,,sustainable business,corporate social responsibility,,Graduate Certificate/Diploma,,,Sustainability for Business Graduate Certificate,https://catalog.weber.edu/preview_program.php?catoid=15&poid=7357&returnto=4596
Applied Environmental Geosciences (BS),"The Applied Environmental Geosciences program at Weber State University includes 38 required credit hours in geosciences, including courses in geology, field mapping, and geographic information systems, in addition to additional elective credit hours in physical science courses like biology, chemistry, and physics.",Weber State University,4562,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,,,Baccalaureate degree,,,Applied Environmental Geosciences (BS),https://catalog.weber.edu/preview_program.php?catoid=12&poid=5783
"Liberal Studies, Environmental Studies Option (BA)","The Environmental Studies option is designed for Liberal Studies students interested in developing a broad understanding of environmental issues from scientific and public policy perspectives. Liberal Studies works across departments and across the university. The Liberal Studies degree values a broad, integrated and interdisciplinary approach to higher education. Interdisciplinary studies foster connections among disciplines and draw upon multiple areas of knowledge. Students choose one of three program options: Environmental Studies, Global and Multicultural, or Quaternity (on campus or online degree completion).",Montana State University,0153,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Specialization/Concentration/Emphasis,,,"Liberal Studies, Environmental Studies Option (BA)",http://catalog.montana.edu/undergraduate/letters-science/liberal-studies/environmental-studies/
"Liberal Studies, Sustainability Studies & Environmental Stewardship Minor","The Sustainability Studies & Environmental Stewardship (SSES) Minor is designed to encourage undergraduate students from any discipline to explore the three pillars of sustainability (economic, environmental and social) beyond course work in their major. The SSES minor will be administered by the Liberal Studies Program at MSU. Liberal Studies works across departments and across the university. The Liberal Studies degree values a broad, integrated and interdisciplinary approach to higher education. Interdisciplinary studies foster connections among disciplines and draw upon multiple areas of knowledge. Students choose one of three program options: Environmental Studies, Global and Multicultural, or Quaternity (on campus or online degree completion).",Montana State University,0153,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Minor,,,"Liberal Studies, Sustainability Studies & Environmental Stewardship Minor",http://www.montana.edu/liberalstudies/sustainabilitystudies.html
Water Resources Minor,"The Montana State University Water Resources Minor is designed to encourage students from any discipline to explore water resources beyond course work in their major. As a result, the minor includes courses from the Colleges of Agriculture, Engineering, and Letters and Science. With a minor in Water Resources, students can enter the workforce with a broad knowledge of water issues and with experience in the field.",Montana State University,0153,Curriculum,Water,Environmental Studies & Sciences,,,natural resources,,,Minor,,,Water Resources Minor,http://www.montana.edu/water-resources-minor/
Sustainable Food Systems (MA),"This program offers many opportunities to engage in experiential learning through management of projects at MSU’s Towne’s Harvest Garden and in the surrounding communities.  Students can tailor their program to their own specific interests by choosing supporting coursework in health promotion and education, political science, economics, business, Native American Studies, and agriculture. ",Montana State University,0153,Curriculum,Food & Dining,Sustainability Studies & Science,Agriculture,,food systems,,,Master's Degree,,,Sustainable Food Systems,http://www.montana.edu/hhd/graduate/sfs/index.html
Geography: Environmental Studies and Sustainability (BS),"The Sustainability and Environmental Studies major is part of SRU’s Bachelor’s in Geography program. Slippery Rock University’s Sustainability and Environmental Studies major builds students’ understanding of the complex interactions between humans and the environment. Exposure to fieldwork methods, laboratory classes, and geospatial technology form a strong technical background for students in this major. Various opportunities unique to SRU allow students to connect with the landscape surrounding campus as well as travel farther afield for internships or fieldwork. ",Slippery Rock University,4704,Curriculum,,Environmental Studies & Sciences,"Social Sciences (Economics, Geography, Political Science, etc)",,geography,environmental studies,,Baccalaureate degree,,,Geography: Environmental Studies and Sustainability (BS),https://www.sru.edu/academics/majors-and-minors/geography-environmental-studies-and-sustainability
Geography: Global Studies (BS),The Global Studies program at Slippery Rock University teaches students how social and cultural practices shape the natural environment.,Slippery Rock University,4704,Curriculum,,International & Global Studies,,,geography,international focus,,Baccalaureate degree,,,Geography: Global Studies (BS),https://www.sru.edu/academics/majors-and-minors/geography-global-studies
Park and Resource Management (BS),"The Park and Resource Management program at SRU provides the tools needed to excel in park interpretation, natural history, visitor services, administration, and resource management and protection.",Slippery Rock University,4704,Curriculum,,"Recreation, Leisure, & Tourism",,,natural resources,National Parks,,Baccalaureate degree,,,Park and Resource Management (BS),https://www.sru.edu/academics/majors-and-minors/park-and-resource-management
Sustainable Management Minor,"The 3BL (triple bottom line) approach to sustainability is at the core of the Sustainable Management program at SRU. A business's success is measured not just by its financial statements, but also by how it impacts people and the planet. Students will learn that a stakeholder takes a long-run view of value creation and strategic planning, and can keep the balance between profit, people, and planet going.",Slippery Rock University,4704,Curriculum,,"Business, Management, & Finance",,,sustainability management,,,Minor,,,Sustainable Management Minor,https://www.sru.edu/academics/majors-and-minors/sustainable-management-(minor)
Environmental Geosciences: Environmental Science (BS),"SRU's Environmental Science program can lead to a career helping to preserve, protect, and improve the environment. A degree in Environmental Science will provide the background needed to help find solutions to a growing population and environmental pressures and make a difference.",Slippery Rock University,4704,Curriculum,,Environmental Studies & Sciences,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,geosciences,environmental studies,,Baccalaureate degree,,,Environmental Geosciences: Environmental Science (BS),https://www.sru.edu/academics/majors-and-minors/environmental-geosciences-environmental-science
Environmental Geosciences: Geology (BS),SRU's Geology program offers students the knowledge and skills for a career that combines scientific inquiry with travel and the opportunity to work on real-world problems related to the everchanging nature and physical history of the Earth. ,Slippery Rock University,4704,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,,,Baccalaureate degree,,,Environmental Geosciences: Geology (BS),https://www.sru.edu/academics/majors-and-minors/environmental-geosciences-geology
Environmental Geosciences (BA),"SRU’s Environmental Geoscience program provides explorers, creators, and world-changers with a Bachelor of Arts or Bachelor of Science degree. This major gives students the opportunity to discover and explore the geological and environmental materials and processes that make up the world. Similar to Geology, this program focuses on the complexities of Earth, but with a spotlight on how these aspects affect our environment. ",Slippery Rock University,4704,Curriculum,,Environmental Studies & Sciences,,,geosciences,environmental studies,,Baccalaureate degree,,,Environmental Geosciences (BA),https://www.sru.edu/academics/majors-and-minors/environmental-geosciences
Environmental Chemistry (BS),"In SRU's Environmental Chemistry program, students will gain the same knowledge of organic, instrumental, and analytical chemistry as other students in the Chemistry program. Students will also expand their knowledge with upper level courses in environmental sciences, such as Air and Water Quality Assessment and Geochemistry.",Slippery Rock University,4704,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,chemistry,green chemistry,,Baccalaureate degree,,,Environmental Chemistry (BS),https://www.sru.edu/academics/majors-and-minors/chemistry-environmental-chemistry
Geography: Applied Geographic Technology (BS),"The Applied Geographic Technology program brings together new technologies in computer science, visualization, geographic information science, and remote sensing to examine the natural and human environment. Through intensive hands-on projects, students will become an expert at using these fast-growing and in-demand technologies.",Slippery Rock University,4704,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Technology & Trades,,geography,technology,,Baccalaureate degree,,,Geography: Applied Geographic Technology (BS),https://www.sru.edu/academics/majors-and-minors/geography-applied-geographic-technology
Environmental Communication and Heritage Interpretation Minor,"Environmental Communication and Heritage Interpretation teaches students how to effectively use speech, images, and technology to communicate about natural resources and environmental issues. This minor draws from multiple perspectives including communication, interpretation, public relations, environmental education, environmental science, and history. This wide perspective, along with ample hands-on and applied experience allows students to not only learn, but to also use these communication skills.",Slippery Rock University,4704,Curriculum,,"Communication, Media Studies, & Journalism",Humanities (except languages),,communications,,,Minor,,,Environmental Communication and Heritage Interpretation Minor,https://www.sru.edu/academics/majors-and-minors/environmental-communication-and-heritage-interpretation-(minor)
Geographic Information Technology Minor,"The Geographic Information Technology minor will help students discover how to use tools and technologies like computer science, visualization, geographic information science, and remote sensing to examine landscapes and environments.",Slippery Rock University,4704,Curriculum,,Technology & Trades,,,technology,geography,GIS,Minor,,,Geographic Information Technology Minor,https://www.sru.edu/academics/majors-and-minors/geographic-information-technology-minor
Geophysics Minor,"The Geophysics program will teach students how to use methods based in physics-such as seismic refraction, seismic reflection, magnetic, and gravity-to investigate Earth properties and Earth structure. Students will also learn how to apply those methods for environmental investigations and mineral, oil, and natural gas explorations.",Slippery Rock University,4704,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,,,Minor,,,Geophysics Minor,https://www.sru.edu/academics/majors-and-minors/geophysics-minor
Marine Science Minor,"The Marine Science program is a natural complement to a major in mathematics or natural sciences. A student's coursework will include general biology, chemistry, oceanography, marine biology, chemical oceanography and marine geology.",Slippery Rock University,4704,Curriculum,,Biological Sciences (includes Ecology),,,marine studies,,,Minor,,,Marine Science Minor,https://www.sru.edu/academics/majors-and-minors/marine-science-minor
Certificate in Sustainability,This interdisciplinary certificate should benefit a diverse population of students who might not be introduced to such concepts through completion of their degree program. Students who obtain a Certificate in Sustainability will be better prepared to critically evaluate society’s interactions with the environment and to help find ethical and equitable solutions to environmental challenges.,Slippery Rock University,4704,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Undergraduate Certificate/Diploma,,,Certificate in Sustainability,https://www.sru.edu/academics/certificates/sustainability-certificate
Environmental Science and Policy (BS),"In the environmental science and policy undergraduate bachelor's degree program, students will gain insight into most aspects of the human world, from science to technology, and the environment with hands-on learning that includes assisting the faculty with research projects and independent projects. The curriculum, offered through Clarkson's Institute for a Sustainable Environment, is also well-suited as a preparatory degree if students are interested in pursuing a degree in the health sciences, including medicine, dentistry or veterinary science.",Clarkson University,1653,Curriculum,,Environmental Studies & Sciences,Public Administration & Policy,,environmental studies,environmental policy,,Baccalaureate degree,,,Environmental Science and Policy (BS),https://www.clarkson.edu/undergraduate/environmental-science-and-policy
