Event ID,Presentation_Title,Description,Org_1,Org_1_id,Org_2,Org_2_id,Org_3,Org_3_id,Org_4,Org_4_id,Org_5,Org_5_id,Org_6,Org_6_id,Topic_1,Topic_2,Topic_3,Academic_Discipline_1,Office_Dept_1,Office_Dept_2,Tags,Presentation_Date,Conference_Name,Presentation_Type,Author1_Name,Position/Title _1,Author_Org_1,Author_Org_1_id,Author2_Name,Position/Title _2,Author_Org_2,Author_Org_2_id,Author3_Name,Position/Title _3,Author_Org_3,Author_Org_3_id,Author4_Name,Position/Title _4,Author_Org_4,Author_Org_4_id,Author5_Name,Position/Title _5,Author_Org_5,Author_Org_5_id,Author6_Name,Position/Title _6,Author_Org_6,Author_Org_6_id,Author7_Name,Position/Title _7,Author_Org_7,Author_Org_7_id,Author8_Name,Position/Title _8,Author_Org_8,Author_Org_8_id,File1_Title,File1_URL,File2_Title,File2_URL,File3_Title,File3_URL,File4_Title,File4_URL
2001,Are Electric Buildings a Feasible Carbon Neutrality Strategy?,"The path to campus carbon neutrality is becoming clearer: electrify everything and procure renewable electricity. Electrifying campus energy infrastructure is a complex undertaking that requires a significant financial investment. While working toward that long-term goal, new buildings can be designed and built to run exclusively on electricity. For example, the University of California system's sustainability policy now prohibits using fossil fuels for space heating or hot water except in special circumstances. This session will present three electric building case studies from different campuses and different building types: labs, housing, and office. It will also share the perspective of an architect who has worked on multiple electric building projects and his interviews with mechanical engineers to assess any cost and technical challenges to designing and operating electric buildings. Finally, Stanford University has already made the investment to electrify energy infrastructure and will share its work to electrify the most challenging building equipment such as commercial kitchens and lab equipment.","University of California, Office of the President",4144,Lawrence Berkeley National Laboratory,3324,"University of California, Irvine",4502,EHDD,9507,Stanford University,4127,,,Buildings,Energy,,,,,"energy efficiency,building design,electrification",10/29/2019,AASHE,Presentation,Matthew St.Clair,Director of Sustainability,"University of California, Office of the President",4144,John Elliott,Chief Sustainability Officer,Lawrence Berkeley National Laboratory,3324,Richard Demerjian,Sustainability Staff,"University of California, Irvine",4502,scott shell,Principal,EHDD,9507,Fahmida Bangert,"Director, Sustainability and Business Services (former AASHE chair)",Stanford University,4127,,,,,,,,,,,,,0915_Bangert_1398.pdf,https://files.aievolution.com/ash1901/events/17851/0915_Bangert_1398.pdf,0915_Elliott_1398.pptx,https://files.aievolution.com/ash1901/events/16428/0915_Elliott_1398.pptx,0915_shell_1398.pptx,https://files.aievolution.com/ash1901/events/16430/0915_shell_1398.pptx,0915_shell_1398_1120_102828.pptx,https://files.aievolution.com/ash1901/events/16430/0915_shell_1398_1120_102828.pptx
2058,Panel Primer: A How-To from Colleges and Universities that have Earned ENERGY STAR Certification,"This focused panel session will bring to bear the experiences of a cross-section of colleges and universities that have earned ENERGY STAR certification for their buildings in the past few years. We'll hear from them about the types of buildings they were able to certify, how they were able to get their buildings to be top performers, their tips for how to make the certification process easy, the value they've found from certifying (such as earning points toward AASHE STARS credits), and how they've promoted their certification after earning it, with key pointers, common misconceptions, and additional considerations and guidance from EPA weaved in throughout. During the latter half of the presentation, we'll open the floor for questions to the members of the panel - providing a unique opportunity for interested institutions to learn from experienced peers. Colleges and universities that are interested in earning this free and publicly-recognized certification from EPA will walk away better equipped to do so and establish connections with experienced peers for any questions they might have going forward.",U.S. Environmental Protection Agency,3628,Colorado State University,0828,Texas A&M University,7982,American University,2613,,,,,Buildings,Energy,,,,,"Energy Star,building certifications",10/29/2019,AASHE,Presentation,Brendan Hall,"Higher Ed Lead, ENERGY STAR Buildings",U.S. Environmental Protection Agency,3628,Stacey Baumgarn,Campus Energy Coordinator,Colorado State University,0828,Sai Brindha Kapalayam,Energy Analyst,Texas A&M University,7982,Courtney Chinn,Utilities Outreach Program Leader,American University,2613,,,,,,,,,,,,,,,,,1445_Hall_1439.pdf,https://files.aievolution.com/ash1901/events/16662/1445_Hall_1439.pdf,,,,,,
2081,Institutional and Industry Partnership Yields Spokane's First Net Zero Energy Building,"Many higher education campuses across the globe are committing to sustainable operations with some charting pathways toward zero energy and net positive campuses. This session will highlight Eastern Washington University's public/private partnership with McKinstry to develop a zero energy building as a living laboratory for academic programs. Spokane will soon be home to its first zero energy building in June 2020, with construction well underway during the 2019 AASHE Conference. The Catalyst building, a 150k-square-foot innovation hub will serve as the south landing for pedestrians using the University District Gateway Bridge. More details available at: www.catalystspokane.com EWU is a rapidly-growing, regional, comprehensive public university, located in Cheney, just 16 miles from Spokane. Founded in 1882, Eastern has evolved to meet the demands of an ever-changing workforce and become a driving force in the culture, economy and vitality of the Inland Northwest. The EWU Spokane campus is in the thriving University District and is home to the university's College of Health Science & Public Health and the College of Business & Public Administration. This presence allows the university to solidify important academic and community partnerships in the region. McKinstry is a national full-service, design-build-operate-and-maintain (DBOM) firm specializing in consulting, construction, energy and facility services. The firm's innovative, integrated delivery methodology provides clients with a single point of accountability that drives waste and redundancy out of the design/build process. McKinstry advocates collaborative, sustainable solutions designed to ensure occupant comfort, improve systems efficiency, reduce facility operational costs, and optimize profitability 'For The Life of Your Building'.",McKinstry,8668,Eastern Washington University,7933,,,,,,,,,Buildings,Energy,,,,,"net zero energy,green buildings",10/28/2019,AASHE,Presentation,Brad Liljequist,"Senior Program Manager, Zero Energy",McKinstry,8668,Mary Voves,Vice President for Business and Finance,Eastern Washington University,7933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,Smart Control Heating Ventilation and Cooling Systems on College Campuses,"An in-depth look at Events2HVAC software and Smart HVAC system analysis regarding energy efficiency and economic viability on college campuses. Events2HVAC software integrates scheduling as building automation, allowing HVAC systems to only run when classes or events are scheduled, featuring pre-start capabilities to ensure occupant comfort and well being. Interfaces of the Events2HVAC software can coordinate between scheduling devices such as Google Calendar, R25, Dean Evans, etc. Resulting in the room instantly reacting to heating/cooling needs, eliminating the need to manually coordinate events for occupant ease, but also eliminating waste energy by heating and cooling unoccupied rooms; both aspects resulting in cost dedications for universities. This presentation offers a case study of a building at Appalachian State University, examining energy use by room and type, the energy used by the building prior to smart software integration, and the energy used utilizing the smart control system.",Appalachian State University,4398,,,,,,,,,,,Buildings,Energy,,,,,"HVAC,building scheduling,building automation,digital tools",10/28/2019,AASHE,Poster,Jasmine Garland,Student,Appalachian State University,4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,Design and Operational Consideration for Sustainable Maker Environments,"With the recent surge of interest surrounding the Maker Movement, many universities have allocated resources to developing their own maker spaces. The benefits of a maker education are vast, providing opportunities that stimulate creativity and develop problem-solving abilities for students. However, there is an inherent dichotomy between the maker and sustainability movements; the focus on production versus reduction. This session challenges how building design and operations need to shift to create lasting sustainable maker environments. Energy use in maker spaces is driven by equipment loads and operational timeframe. Most Universities allow for maker activity beyond standard class hours. This is a positive trend as it allows maximum use of the built environment. However, with this comes more energy use from equipment and the building infrastructure used to power and condition these spaces. To maximize the potential of the space and reduce the energy consumed while maintaining a safe environment, the maker space equipment, layout, adjacencies, and systems serving the equipment needs to be organized efficiently. Key design decisions include optimizing program and adjacencies; minimizing requirements for ventilation through shared programming; separating ventilation strategies from heating/cooling; and managing ventilation through demand control Maker ecosystems can include varying functions, from woodworking to rapid prototyping and electronics fabrication. The greatest asset to the student is to learn the process. However, the process creates waste. For instance, with rapid prototyping equipment becoming ubiquitous, there can be a significant addition to the waste stream. Practices like deconstruction can help. Deconstruction involves the elemental breakdown of a product to determine which parts can be recovered and/or reused. Maker Institutions need to understand the impact of each process and generate awareness of the products end-of-life impact.",Bohlin Cywinski Jackson,0960,,,,,,,,,,,Buildings,Energy,,,,,"building design,building systems,maker movement",10/28/2019,AASHE,Poster,Patricia Culley,Senior Associate,Bohlin Cywinski Jackson,0960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,Reducing Energy Costs and Improving Sustainability while Improving Indoor Air Quality,"The lowest hanging fruit for energy-saving initiatives has been lighting. Today, designers are looking for other places to find savings. Air filtration and IAQ offer huge opportunities for energy efficiency. Building occupants expect their indoor air to be free of contaminants which has led to higher efficiency filters, and in some instances, more ventilation air. Until recently, both approaches would normally increase costs. The biggest cost is not in the cost of the filter itself, but rather in the cost of the energy to push air through it. Energy represents over 90% of the cost of air filtration. Today there are air cleaning technologies with a much lower static pressure resistance that remove odors and VOCs in addition to ultrafine particles. Often, additional savings can be achieved using the IAQ Procedure of ASHRAE Standard 62 to reduce outdoor ventilation air requirements. Commercial buildings consume 40% of all energy in the U.S. Over half of that is used to condition and clean the air. And over half of that is fan energy. Clearly, that's some low hanging fruit. As a case in point we will examine the impact of air filtration systems on energy savings at the ASHRAE Headquarters.",Dynamic Air Quality Solutions,8695,,,,,,,,,,,Buildings,Energy,,,,,"indoor air quality,ventilation,energy reduction,energy efficiency",10/28/2019,AASHE,Poster,Michael Farnsworth,Regional Manager,Dynamic Air Quality Solutions,8695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530_Farnsworth_1798.pdf,https://files.aievolution.com/ash1901/events/17339/1530_Farnsworth_1798.pdf,,,,,,
2011,How Sustainable & Integrated Design Supports the Vital Mission of the Knight Cancer Institute,"Oregon Health and Science University (OHSU) is one of the only universities in the U.S. devoted exclusively to educating medical and public health professionals. The ambitious mission of their new Knight Cancer Research Building is to end cancer as we know it, but how can a building support such a challenging goal? Using an Integrated Project Delivery process and beginning with a clear set of OHSU's guiding principles for the project, the Research Building team delivered a facility with tailored strategies that provide real meaning for the building, which is anticipating LEED Platinum certification. OHSU's new Research Building is a key element in recruiting approximately 250 of the world's leading cancer researchers and physicians to lead the charge in curing cancer. To encourage innovative work, the building was designed to break down silos and promote the collaboration necessary to achieve medical breakthroughs. OHSU Ph.D. researcher Tiffani Howard acted as a liaison to the building team throughout the project to ensure an informed, collaborative and functional design. OHSU's guiding project principles helped clarify meaningful sustainability strategies for the facility: healthy materials and energy impacts. Many common building materials contain known carcinogens, but avoiding them is advanced and challenging work. For this cancer-fighting facility, the team prioritized a healthy indoor environment without finish materials that contain cancer-causing agents. Research institutions have notoriously high energy needs, but no leading building today can ignore its contributions to climate change. The completed design is estimated to use 35% less energy than a comparable facility, and a Whole Building Life Cycle Assessment reduced the carbon and environmental impacts of the building's materials as well. Learn to set your project up for sustainability success, and see how this process helped OHSU achieve valuable outcomes that support a vital mission.",Oregon Health & Science University,4018,"SRG Partnership, Inc",3602,Brightworks Sustainability,7338,,,,,,,Buildings,Research,Wellbeing & Work,Health Sciences & Medicine,,,"LEED,healthcare,building materials",10/29/2019,AASHE,Presentation,Tiffani Howard,"Program Director of Research Strategy and Operations, Knight Cancer Institute",Oregon Health & Science University,4018,Laurie Canup,Principal,"SRG Partnership, Inc",3602,Haberman Haberman,Sr. Project Manager,Brightworks Sustainability,7338,,,,,,,,,,,,,,,,,,,,,1445_Ulmer_1442.pdf,https://files.aievolution.com/ash1901/events/16474/1445_Ulmer_1442.pdf,,,,,,
2065,Introducing Fitwel: Practical Applications & Learning Opportunities to Advance Campus Wellness,"This session introduces Fitwel, a third-party health-focused rating system which utilizes evidence-based design approaches to promote positive health impacts across the built environment. Fitwel emerged at the same time as the WELL Building Standard, and rather than competing for market share with WELL, it seeks to provide an alternative at the other end of the market so as to provide a way in for projects of limited budget, scope and expertise to be able to reap the benefits of evidence-based approaches, suitable for new and existing buildings and interiors. Part 1 of this session explores the following about the standard: 1) what makes it similar to WELL and unique 2) how it interfaces with LEED 3) who is using it and why 4) how much it costs 5) what impacts has it accomplished in 3 years of being publicly available 6) how it is a useful tool for promoting health and wellness. Part 2 explores a case study where Fitwel was adapted for student learning that would eventually become a policy affecting all new buildings and retrofits at the University of Alberta, a community of over 45,000 in Edmonton. Fitwel started as the focus for a student-led graduate-level course whereby students performed gap analyses on various typical buildings types on campus. This learning turned into an adapted plan specific to UofA focused outcomes for promoting socialization and mental wellness. The main graduate student who ran the course will explain how lessons from the standard were adapted over multiple semesters, on multiple buildings, and was measured to prove the positive outcomes of implementing the evidence-based approaches. This informed everything from capital projects to furniture design - all informing a campus-wide wellness masterplan (UWell), clarifying how Fitwel can provide an opportunity for educational facilities to promote measurable outcomes through the utilization of evidence-based academic medical research in practice.","Stantec Consulting, Ltd.",0392,University of Alberta,2224,,,,,,,,,Buildings,Wellbeing & Work,Curriculum,,,,"wellness,Fitwel,WELL Building Standard,project based learning",10/29/2019,AASHE,Presentation,Blake Jackson,Sustainability Design Leader - US Northeast,"Stantec Consulting, Ltd.",0392,Erin Van Horn,Graduate Student,University of Alberta,2224,,,,,,,,,,,,,,,,,,,,,,,,,0830_Jackson_1298.pptx,https://files.aievolution.com/ash1901/events/16685/0830_Jackson_1298.pptx,,,,,,
2491,What's the New Deal with Building 'Green' on Campus?,"Many schools are leaning away from LEED and perhaps for good reason. Why? What are the challenges and are there alternatives to better suit campus strategies around green building. As a networking session, the facilitators will create a sharing space to solicit feedback/discussion around what sustainability leaders within higher education are experiencing with green building platforms such as LEED v4, WELL, BREEAM, etc. Discussions will focus on the importance of sustainability, issues of climate change, reducing carbon emissions, the legacy of green buildings, and why sustainability is important to students. Attendees will walk away with learning ideas, successes, and failures from others and connections to keep the discussion going long after the session is over.",Michigan State University,0439,Catalyst Partners,9517,,,,,,,,,Buildings,,,,,,"building certifications,challenges,green buildings",10/29/2019,AASHE,Presentation,Ann Erhardt,Chief Sustainability Officer,Michigan State University,0439,Eric Doyle,Director of Business Development,Catalyst Partners,9517,,,,,,,,,,,,,,,,,,,,,,,,,1245_Erhardt_1871.pdf,https://files.aievolution.com/ash1901/events/18199/1245_Erhardt_1871.pdf,,,,,,
2535,"Wildlife and the Built Environment - JCCC Bird Collision Study Data, Mitigation, and Results","Why do birds collide with windows? During the 2018 JCCC Bird Collision study we learned many of our buildings and elevated walkways have various issues that create hazards for birds. We will share how we set up a bird collision study, partnered with another institution to support their research, collected data by crowd sourcing from citizen scientists and student volunteers, collaborated with grounds, security and other departments to spot birds, and what the surprising results were in the data we collected but also in the diverse group of people on campus that participated in various aspects of the study. See how current research on the issue informed our decisions for mitigation, and what experimental test sites we set up to try and reduce costs. Learn how we got buy-in from administration, and secured funding to treat over 2000 sq. ft. of windows on campus in spring 2019. We'll discuss preliminary results of how effective that investment was, what worked, and what mistakes were made.",Johnson County Community College,2128,,,,,,,,,,,Buildings,,,,,,"birds,built environment",10/28/2019,AASHE,Poster,Krystal Anton,Zero Waste Coordinator,Johnson County Community College,2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,Convincing Our Colleagues to Fly Less: Engaging Academics on E-Conferencing,"Academic conferences provide invaluable scholarly interaction, yet a reliance on air travel means conferencing has a big carbon footprint. Estimates suggest air travel can make up 15-30 per cent of a post-secondary institution's emissions. For individuals, a couple flights a year can easily dwarf any other steps taken to reduce one's carbon footprint. For colleges and universities to take their climate pledges seriously, we need to develop carbon-neutral alternatives to traditional conferencing. From 2013-18, the University of Alberta hosted the Around the World Conference (ATW), a transcontinental research exchange without the air travel. This conference tests the feasibility of using online and video technologies to generate genuine scholarly exchanges. Each year, organizers experimented with formats and technologies, pushing the boundaries and building capacity on the university's IT team. In this poster presentation, I will share how my team is building off of ATW to promote e-conferencing to the university community. I will share our first steps at finding receptive faculty members-those who are willing to fly less and also take on the challenge of organizing a new type of conference. Surveys and focus groups have revealed differences between junior and senior scholars, differences in motivations, etc. while the Alberta Narratives Project provided valuable understanding of how messages on climate action can succeed or fail in our local context. While our goal is air travel reduction, this market research has revealed benefits, motivations and frames that might be more persuasive when it comes to convincing our colleagues to try e-conferencing.",University of Alberta,2224,,,,,,,,,,,Air & Climate,Public Engagement,Transportation,,,,"air travel,conferences,digital tools,emissions reduction",10/29/2019,AASHE,Poster,Trevor Chow-Fraser,Program Lead (Marketing & Communications),University of Alberta,2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,Maximizing Campus Sustainability through Student/Staff-Driven Energy Efficiency and Engagement,"Learn about driving behavioral/engagement strategies to increase campus sustainability from two universities leveraging energy-saving programs to accomplish this. These campuses are utilizing social science-based behavioral principles to break down barriers and implement strategies and targeted activities that produce measurable results. Components of effective Engagement Campaigns will be reviewed including developing/deploying a Communications Plan and leveraging a Steering Committee/Green Team to create meaningful connections for students/staff that inspire action to improve campus facilities and culture. With just over 6,000 students, Colorado School of Mines (Mines) is an innovative, modern campus, fostering an entrepreneurial mindset, maintaining a sense of responsibility to promote positive change in the world through academic programs in engineering and applied science. Mines has sought energy benchmarking and efficiency across campus for over a decade now, recently on-boarding their first sustainability coordinator to lead all initiatives including STARS reporting. Tucked between Colorado's mountains and high plains, University of Northern Colorado (UNC) is a public doctoral research university committed to the success of its 13,000 students. UNC's student-led/funded grant program, Student Leadership for Environmental Action Fund oversees an annual budget of ~$190k and has funded sustainability projects including onsite solar. Both have partnered with McKinstry to implement powerED, a comprehensive efficiency program that enables institutions to achieve their goals in leadership, education, and optimization while saving energy and cutting waste. These individualized powerED programs will save each institution over $200k/yr in utility costs through low/no-cost behavioral strategies, significantly increasing campus-wide awareness/engagement. Hear results of these effective campus campaigns from industry experts and campus staff and students.",McKinstry,8668,Colorado School of Mines,0792,,,,,,,,,Campus Engagement,Buildings,Energy,,,,"behavior change,behavioral sciences,energy efficiency",10/28/2019,AASHE,Presentation,Alison Schwabe,"Program Manager, McKinstry",McKinstry,8668,Lauren Poole,Sustainability Coordinator,Colorado School of Mines,0792,Ann Gallogly,Business Consultant,McKinstry,8668,,,,,,,,,,,,,,,,,,,,,0915_Gallogly_1490.pdf,https://files.aievolution.com/ash1901/events/18458/0915_Gallogly_1490.pdf,,,,,,
2375,Sustainable Architecture and Initiatives: Lessons from Integrating Sustainability on Campus,"University campuses are living laboratories -- testing grounds for sustainability strategies that can translate to the larger communities within which the campuses reside. For communities of all sizes, integrated sustainability requires the involvement of multiple stakeholders and a flexible, multi-nodal plan that is part of both the physical and cultural environment. In this session, an architect and green building specialist experienced in higher education projects teams with sustainability staff from the University of Houston central campus and the University of Houston-Downtown to discuss the challenges and opportunities of integrating sustainability in campus environments. The presentation will explore the roles of green architecture, university processes, and academic curriculum as a means to integrate sustainable practices into both the physical environment and culture of universities. Among the examples discussed will be the value of showcase green buildings on campuses; student engagement efforts of UHD's Center for Urban Agriculture and Sustainability; and the data tracking, research, and policies supported by the University of Houston's Office of Sustainability. Through the sharing of lessons learned and brainstorming with the audience, this presentation will use campuses as case studies to help identify a diverse toolbox of both top-down and bottom-up strategies to integrate sustainability across university campuses and potentially within broader communities.",Kirksey,6376,University of Houston,2287,,,,,,,,,Curriculum,Buildings,,Architecture,,,"green buildings,living labs",10/29/2019,AASHE,Poster,Colley Hodges,Director of Sustainability,Kirksey,6376,Michael Mendoza,Sustainability Manager,University of Houston,2287,,,,,,,,,,,,,,,,,,,,,,,,,1100_Mendoza_1652.pdf,https://files.aievolution.com/ash1901/events/17525/1100_Mendoza_1652.pdf,,,,,,
1983,STARS as a Meaningful Student Learning Opportunity,"Engaging students in the STARS process can provide valuable student learning and ease the data collection burden on sustainability staff. This interactive panel discussion offers examples and lessons learned from three different campuses using varying approaches to integrating undergraduate students. The session will present several models for student participation in STARS, the benefits and challenges of each, ideas for addressing data accuracy, and outcomes from students/graduates. This is an interactive session, and participants will have multiple opportunities to contribute their own experiences and questions.",Williams College,0059,Westminster College - Utah,1888,Weber State University,4562,,,,,,,Campus Engagement,Coordination & Planning,Curriculum,,Sustainability Office,,"student engagement,project based learning,STARS",10/28/2019,AASHE,Presentation,Mike Evans,"Interim Director, Zilkha Center for Environmental Initiatives",Williams College,0059,Caroline Bruno,"Assistant Director, Zilkha Center for Environmental Initiatives",Williams College,0059,Kerry Case,Assistant Provost for Integrative Learning,Westminster College - Utah,1888,Bonnie Christiansen,Academic Sustainability Coordinator,Weber State University,4562,,,,,,,,,,,,,,,,,0915_Bruno_1249.pptx,https://files.aievolution.com/ash1901/events/16353/0915_Bruno_1249.pptx,,,,,,
2503,Creating and Maintaining Public Archives: Green Fund Website Redesign,"With help from our Student Union Marketing Team, The Green Initiative Fund (TGIF) at UC Berkeley has entirely rebuilt its website on a new platform, creating a public archive of its projects and resources in a transition from using Joomla as a host site to WordPress. Our new website features 5 simple tabs including 'About Us,' 'Committee,' 'Funded Projects,' 'Resources,' and 'Apply for Funding,' each with a drop-down box of additional options. This is a much more streamlined version of our old website, as the old site had multiple drop down menus that made it challenging to navigate and keep current. In this collaborative session, come learn about some of the key aspects of TGIF's new website that make it user-friendly, informative, functional, and aesthetically pleasing. Attend also if you're curious what the process of website redesign requires, particularly for a program as robust as a 200+ project, $3 million program with 10 years of content and history. How can you use Google Drive as a tool to create a public archive that appropriately reflects your program, keeping in mind document security? How can you remain transparent while running a student fee funded program, while also balancing intellectual property rights and personal information? How can you balance design standards with functionality? What is a site map? How do you convert a site map to an actual site? How do you cut down content so that it's not too wordy? What are some useful WordPress tips and tricks? What is Search Engine Optimization (SEO), and how can you employ it in your program website? How is treating website visitors similar to serving customers, and how can we use Google Analytics to improve traction on the site? Join UC Berkeley's Student Union Digital Communications Manager and TGIF's Coordinator in exploring what makes a good program website, the challenges we faced on this 1.5-year long project, and the next steps we might take to assess the effectiveness of our site.","University of California, Berkeley",4473,,,,,,,,,,,Campus Engagement,Coordination & Planning,Investment & Finance,,,,"communications,green funds,websites,Communications Track",10/28/2019,AASHE,Presentation,Teresa Yu,Staff,"University of California, Berkeley",4473,Kalelia Wilson,Digital Communications Manager,"University of California, Berkeley",4473,,,,,,,,,,,,,,,,,,,,,,,,,0915_Wilson_1158.pptx,https://files.aievolution.com/ash1901/events/18256/0915_Wilson_1158.pptx,,,,,,
2131,Building From the Ground Up: Developing a Sustainable Campus From Scratch,"This session focuses on providing tips and tools for students and faculty who wish to develop a sustainability group or initiative, or grow one that is already initiated, at an institution that has not yet made sustainability a priority. The University of Central Oklahoma's Students For Sustainability organization was founded just 3 years ago with the goal of transforming the campus from one where people didn't know the word sustainability, to one where everyone was practicing sustainable habits. Although there was no sustainability precedent set on campus, or in the state, when the effort started, the organization has grown exponentially and has been able to impact many areas across campus; from helping student organizations host zero waste events, to hosting a Student Sustainability Summit. This session provides examples from the experience and offers new innovative ideas that can impact all campuses. A set of round table discussions is included that each focus on a specific topic that was found to be essential to growth, 'Developing Interpersonal Relationships in Your Organization', 'Seeking Administrative Support', 'Building Interorganizational Coalitions', and 'Involving Greek Life'. The goal of this session is to assist everyone and provide innovative ideas for overcoming local and global challenges, so that we may build a better and sustainable future for all.",University of Central Oklahoma,2052,,,,,,,,,,,Campus Engagement,Coordination & Planning,,,,,"student organizations,getting started,priorities",10/27/2019,AASHE,Presentation,Carlie Jennings,Department of Biology,University of Central Oklahoma,2052,Brooke Savoy,Undergraduate Student,University of Central Oklahoma,2052,Ryan Lykins,Students For Sustainability,University of Central Oklahoma,2052,Allie Williams,Student,University of Central Oklahoma,2052,Cody Yelton,Director of Student Outreach,University of Central Oklahoma,2052,Mary Bixler,Student,University of Central Oklahoma,2052,,,,,,,,,,,,,,,,
2516,Mobilizing higher education to respond to the climate crisis - Part 1,"This special, experiential session is for faculty, staff, and students who are ready to call on higher education to face the realities of climate disruption and to prepare our communities for the massive ecosocial transitions that are already underway. We are tired of the old conversation about incremental change to marginally reduce negative impacts. This session invites participants to consider potential climate future scenarios and reflect on their roles & responsibilities to themselves, each other and our places in light of accelerating ecological breakdown and social unrest so that we might generate a vision of our futures that is hopeful, yet grounded by the latest scientific predictions about the climate crisis and its associated human suffering. We would like to lift up and strategically support the young people who are increasingly courageous in speaking up about the climate crisis, look to and learn from indigenous wisdom and elders, and build a network of those who are asking our institutions to take to heart what Greta Thunberg's call to: 1) Tell the truth about the climate emergency, and 2) Act accordingly (as Greta says, '...act as if the house is on fire - because it is.') We want more than one more signature on a piece of paper. We are ready for paradigm-shifting, systems transformation. We envision a leaderless movement that builds on successes, rapidly scales up ideas that work, and connects people at institutions to inspire the great transition away from fossil fuels and towards a new way of life. Attendance is limited by room size so we ask interested participants to pre-register (if space allows, there may be onsite registration, as well). Part 2 follows in the afternoon. ",Swarthmore College,3879,University of Hawaii System Office,2269,,,,,,,,,Campus Engagement,Public Engagement,Public Engagement,,,,"transformational,climate change,climate crisis,leadership",10/29/2019,AASHE,Presentation,Aurora Winslade,Director of Sustainability,Swarthmore College,3879,Matthew Lynch,System Sustainability Coordinator,University of Hawaii System Office,2269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,Available for Download: Leveraging Generation Z's Impact on the Wellbeing Economy,"The goal of this presentation is to discuss the application of generational theory, specifically Generation Z, to principles of a wellbeing economy within a higher education setting. Generation Z students, born between 1995-2015, are becoming higher education's primary consumers, and data suggests that this group could provide sustainability professionals with a unique opportunity to merge awareness with meaningful activism. Drawing upon a review of relevant scholarly literature, as well as almost a decade of first-hand experiences coordinating co-curricular involvement activities for students, this presentation will provide attendees with the opportunity to learn how to facilitate meaningful educational moments for students to recognize, discuss, and act upon principles of a wellbeing economy; valuing the UN Sustainable Development Goals (SDGs) strategy to move beyond Gross Domestic Product (GDP) indicators to create wellbeing indicators to guide decision making for economic policy. The presentation aims to leave attendees with practical action points for learning how to engage students in the process of creating and implementing programs that highlight the importance of a wellbeing economy. ",Texas A&M University,7982,,,,,,,,,,,Campus Engagement,Public Engagement,,,,,"generational theory,wellness,activism",10/29/2019,AASHE,Poster,Brandon Carlson,Coordinator of Residence Life,Texas A&M University,7982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100_Carlson_1540.pdf,https://files.aievolution.com/ash1901/events/17480/1100_Carlson_1540.pdf,,,,,,
1917,"Creating A Sustainability Magazine: A Diverse, Digital Experience","Everyone wants to find creative ways to tell their campus sustainability story. With so many different options, it can be challenging to identify the best route to take. Further complicating the matter for us as environmental organizations and sustainability champions, we also do not want to waste paper, even if that comes at the expense of getting the word out about our efforts. Since 2012, the Office of Sustainability at University of Maryland (UMD) has worked with the UMD Office of Strategic Communications to develop a biennial sustainability magazine, a print and digital publication. The project started out as a wishful mechanism for fundraising and to help further ingrain the sustainability culture at the university. A partnership with central communications began as a much-needed aid to help put together content and guide sustainability staff through the production process. Now after completing the fourth edition of the magazine in 2018, Andrew Muir shares his experience navigating and leading the project since joining the office in 2013. Andrew has successfully handled project manager responsibilities for three editions of the magazine (2014, 2016 & 2018) and will share lessons learned, tips and ideas for putting together your own sustainability magazine while also challenging the audience to think 'outside of the box' about whether it's worthwhile or not to publish a print publication that can also be shared digitally. The presentation will include an introduction that lays out how the project was conceived and its initial goals, how it has evolved over the last six years, and why other sustainability organizations should consider doing a similar project. An overarching theme of the presentation will include the benefits of working directly with your central communications staff on a similar project, how the publication can lead to additional outreach efforts, and the power of being able to physically give someone a piece of literature.","University of Maryland, College Park",1712,,,,,,,,,,,Campus Engagement,Public Engagement,,,Communications & Marketing,,"communications,Communications Track",10/28/2019,AASHE,Presentation,Andrew Muir,Communications Manager,"University of Maryland, College Park",1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0830_Muir_1408.ppt,https://files.aievolution.com/ash1901/events/16180/0830_Muir_1408.ppt,,,,,,
