Program Name ,Description,Organization1,Organization1 ID,Organization2,Organization2 ID,Topic1,Topic2,Acad Discipline1,Acad Discipline2,Acad Discipline3,Tag1,Tag2,Tag3,Tag4,Year Founded (200x),Program Type,Learning Outcomes,Expected completion time,Approx # students completing program annually,Distance Ed.,Commitment,Link URL
Soil & Crop Sciences (MS/MPS),"The Graduate Field of Soil and Crop Sciences provides programs leading to PhD, MS, and MPS programs in the following five concentrations: Agronomy, Field Crop Science, Soil Science, Environmental Information Systems, and Environmental Management (M. P. S. only). Students work on projects spanning a range of topics such as advances in management practices for sustainable field crop production, soil biogeochemistry in relation to climate change and environmental concerns, geospatial land processes, and molecular genomic aspects of crop plants and soil microbes",Cornell University,3066,,,Curriculum,,Agriculture,,,soils,,,,,Master's Degree,,,,,,http://www.css.cals.cornell.edu/graduate
Bachelor in Horticulture,"Horticulturists grow fresh fruits and vegetables, plan and create beautiful landscapes, cultivate and maintain acres of turfgrass for recreation and function, breed new plants for pest resistance and environmental tolerance, and educate young and old alike about the many benefits of horticultural crops. ",Iowa State University,3118,,,Curriculum,Grounds,Agriculture,,,horticulture,,,,,Baccalaureate degree,,,,,,http://www.hort.iastate.edu/
Organic Agriculture Program,"Our mission is to educate producers, consumers and policy makers in the research and extension activities in Organic Agriculture both on-farm and in the Universities. Organic Agriculture involves a production management system based on the ecological principles of nutrient cycling, biotic regulation of pests and biodiversity. Synthetic fertilizers and pesticides are replaced by sunlight-based inputs, such as plant and animal residues. Premium prices for certified organic products drive the immediate economic benefits of Organic Agriculture. ",Iowa State University,3118,,,Curriculum,,Agriculture,,,sustainable agriculture,organic foods,,,,Post-Graduate Certificate/Diploma,,,,,,http://extension.agron.iastate.edu/organicag/homepage.html
"Agribusiness, Agricultural Economics & Agricultural Business (MS)","One in five workers is employed in the food and fiber sector of the U. S. economy. A major in agricultural economics and agricultural business provides flexibility to students with diverse career interests. Our faculty is dedicated to providing knowledge and information and preparing students for the challenging world of increasingly global and information-driven agriculture, food companies and markets, and environmental and natural resource management agencies. ",New Mexico State University,3590,,,Curriculum,,Agriculture,"Business, Management, & Finance",,agribusiness,,,,,Master's Degree,,,,,,http://aces.nmsu.edu/academics/aeab/
"Minor in Agriculture, Economics & Business","Agriculture, Economics and Business - Advising is housed in the Department of Management (College of Business) and Plant and Environmental Sciences Department, College of Agricultural, Consumer & Environmental Sciences. ",New Mexico State University,3590,,,Curriculum,,Agriculture,,,agribusiness,,,,,Minor,,,,,,https://webcomm.nmsu.edu/greening/wp-content/uploads/sites/29/2015/09/Minor-in-Sustainability-Management.pdf
Food Studies (MA),"This multidisciplinary program is designed to train students to master skills necessary for success in food related professions. Courses range across many disciplines including Anthropology, History, Sociology, Literature and Law, and focus on developing mastery in research, writing and policy making methodologies. The successful student will gain expertise in multiple food policy implementation strategies for use by producers, consumers and law makers. Students will develop exceptional proficiency in evaluating the social, economic, aesthetic and political impact of food choices made by individuals and groups. These skills will equip them for careers in business including marketing, advertising, research and development, for positions in government agencies, NGOs, nonprofit and philanthropic organizations, for careers in food writing, social work, lobbying and for advanced work in academia. ",University of the Pacific,3948,,,Curriculum,,Agriculture,Humanities (except languages),,food systems,,,,,Master's Degree,,,,,,http://www.pacific.edu/Academics/Schools-and-Colleges/College-of-the-Pacific/Academics/Departments-and-Programs/Food-Studies.html
Sustainable Agroforestry Option for Natural Resources Major,The student pursuing this option will develop skills and knowledge necessary to design and manage integrated sustainable land management systems involving co-production of woody plants and agricultural plants and animals. ,Oregon State University,4044,,,Curriculum,,Agriculture,,,forests,natural resources,,,,Specialization/Concentration/Emphasis,,,,,,http://catalog.oregonstate.edu/OptionDetail.aspx?code=684&majorid=918
Sustainable Food Concentration,"The Sustainable Food Concentration lets students engage in an interdisciplinary exploration of food and the many issues involved in sustainability. Whether students are interested in global food distribution systems, the economics of agriculture, food cultures around the world, agriculture policy or the various ways that gender and food intersect, students can explore thier interests in a cohesive, directed and exciting way!",Smith College,4705,,,Curriculum,Food & Dining,Agriculture,,,food systems,,,,,Specialization/Concentration/Emphasis,,,,,,https://www.smith.edu/food/
Sustainable Agriculture Co-op Program,"Throughout the Sustainable Agriculture program Students  will Learn from experienced farmers and practitioners in class, on farm field days, and during panel discussions,Develop a business case and farm plan, Focus on the principles and practices of sustainable agriculture and small farm operations and viability. Farming practices in the program are based on the principles of environmental stewardship, farmer profitability, social responsibility and community health. ",Fleming College,4805,,,Curriculum,Grounds,Agriculture,,,sustainable agriculture,,,,,Minor,,,,,,http://flemingcollege.ca/programs/sustainable-agriculture-co-op
Horticulture (AAS),"Today’s horticulture industry offers careers that go beyond landscaping and floral design. Associate degree graduates of horticulture programs can become natural area managers, arborists and owners and managers of sustainable farms as well as landscape designers and business owners. CLC Horticulture program offers Associate in Applied Science degrees in five specialty areas",College of Lake County,5054,,,Curriculum,Grounds,Agriculture,,,horticulture,,,,,Associate (2-year) degree,,,,,,http://www.clcillinois.edu/programs/hrt
Agricultural & Resource Economics (MS),"The Department takes particular pride in its research program and recognizes that research permits graduate students to demonstrate their creative ability and to attain academic maturity. Students usually begin thinking about their thesis or dissertation project early in their program, with formal planning beginning during the second semester of an M. S. program and at the end of the second semester of a Ph. D. program. Examples of possible research topics are: econometric analysis of food demand and supply, measurement of economic efficiency in agricultural enterprises, market power and industrial concentration, interregional competition, analysis of entry barriers in the food manufacturing industries, evaluating alternative promotion strategies for a commodity marketing board, analysis of public policies to protect open space, efficient design of policies for environmental protection, evaluating the impact of alternative groundwater contamination regulations upon agricultural activity and public welfare, and identifying the determinants of rural-urban migration patterns in less developed countries. ",University of Connecticut,2131,,,Curriculum,,Agriculture,"Business, Management, & Finance",,agribusiness,,,,,Master's Degree,,,,,,http://are.uconn.edu/Grad_Stu/Academic/index.php
Sustainable Food Crop Production,This minor provides an overview of issues related to sustainable food crop production within the context of environmental stewardship. ,University of Connecticut,2131,,,Curriculum,Food & Dining,Agriculture,Sustainability Studies & Science,,food systems,,,,,Minor,,,,,,http://catalog.uconn.edu/minors/sustainable-food-crop-production/
"Bioenergy Concentration, Plant Sciences Program","The Department of Plant Sciences (PS) conducts academic, outreach and research programs in agricultural and natural resource plant sciences, at facilities in Knoxville and several Research and Education Centers throughout Tennessee. ",University of Tennessee at Knoxville,3031,,,Curriculum,,Agriculture,,,biofuels,,,,,Specialization/Concentration/Emphasis,,,,,,https://ag.tennessee.edu/plantsciences/Pages/undergraduate.aspx
"Organic Production Concentration, Plant Sciences BS","The organic production concentration is designed to create leaders in the field of organic and sustainable agriculture. Students will gain the knowledge and skills for production and management of organic cropping systems. Employment prospects include owning an organic farm, consulting, agricultural extension, environmental education, government agencies, international agricultural development, and research. ",University of Tennessee at Knoxville,3031,,,Curriculum,Food & Dining,Agriculture,,,organic foods,,,,,Specialization/Concentration/Emphasis,,,,,,http://catalog.utk.edu/preview_program.php?catoid=18&poid=7556;
Food & Agriculture (BA),"Geographers engaged in the study of Food and Agriculture at Indiana University focus on agricultural decision-making, agricultural and food policy, consumer choice and taste, food security, food systems governance and foodways. Combining both qualitative and quantitative approaches, the fundamental goal of the department's Food and Agriculture program is to better understand how humans produce and consume food, how the global food system functions, and how the global food system can be made more sustainable and just. ",Indiana University Bloomington,6354,,,Curriculum,Food & Dining,Agriculture,,,food systems,,,,,Baccalaureate degree,,,,,,http://www.indiana.edu/~geog/research/hei.shtml
Green Building Certificate Program,"IBE specializes facilitating the integrated design, construction and operations processes to help teams realize their green building and sustainability goals. ",Colorado State University,828,,,Curriculum,Buildings,Architecture,,,building design,,,,,Graduate Certificate/Diploma,,,,,,http://sustainability.colostate.edu/education/csu-programs-graduate-students
Planning (MS),"The Master of Science (MS) in Planning Program is located within the College of Architecture, Planning and Landscape Architecture (CAPLA), a national leader in sustainable design, planning, and management. As a professional college, CAPLA’s core mission and strength is training architects, landscape architects, and urban planners to work effectively within a challenging array of social, economic, and environmental conditions. ",University of Arizona,4465,,,Curriculum,,Architecture,,,building design,,,,,Master's Degree,,,,,,https://grad.arizona.edu/programs/programinfo/PLNGMS
Sustainable Built Environments (BS),"The College of Architecture, Planning, and Landscape Architecture is pleased to offer an extraordinary degree opportunity for students interested in entering the new green economy. The Bachelor of Science in Sustainable Built Environments is a solutions-based, interdisciplinary undergraduate degree that educates students in the comprehensive understanding of environmental design, planning, and management challenges. ",University of Arizona,4465,,,Curriculum,Buildings,Architecture,,,building systems,,,,,Baccalaureate degree,,,,,,http://capla.arizona.edu/degree/sustainable-built-environments-degree-program
"Sustainable Horticulture Concentration, Applied Biological Sciences (BS)","The sustainable horticulture concentration is designed for students who want theory and practical experiences in the unique aspects of the culture of plants in an urban desert environment. Students acquire the skills to produce, design and care for ornamental and edible plantscapes using sustainable technologies. Students are prepared for a range of horticulture careers in the private and public sectors, including in nursery plant production, landscape design and culture as well as local food production and organic urban farming. ",Arizona State University,4531,,,Curriculum,,Biological Sciences (includes Ecology),Agriculture,,horticulture,biology,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/TSABSUBS/undergrad/false
"Ecology, specialization in Human-Environment Interactions (MS)","The Human Environment Interactions specialization draws on the expertise of GDPE Faculty in the social and environmental sciences to help students construct solutions to critical human/environmental problems. Students learn about the human aspects of environmental issues such as human drivers of environmental change and the feedbacks on individuals and social systems and their institutions, past, present and future. This is accomplished through material presented in classes, in research projects, theses and dissertation research and joint work with faculty on professional papers. ",Colorado State University,828,,,Curriculum,,Biological Sciences (includes Ecology),,,ecology,,,,,Master's Degree,,,,,,http://www.ecology.colostate.edu/curriculum-specializations.aspx
"Ecology, specialization in Human-Environment Interactions (PhD)","The Human Environment Interactions specialization draws on the expertise of GDPE Faculty in the social and environmental sciences to help students construct solutions to critical human/environmental problems. Students learn about the human aspects of environmental issues such as human drivers of environmental change and the feedbacks on individuals and social systems and their institutions, past, present and future. This is accomplished through material presented in classes, in research projects, theses and dissertation research and joint work with faculty on professional papers. ",Colorado State University,828,,,Curriculum,,Biological Sciences (includes Ecology),,,ecology,,,,,Doctoral Degree,,,,,,http://www.ecology.colostate.edu/curriculum-specializations.aspx
Ecosystem Science & Sustainability (BS),"The Ecosystem Science and Sustainability (ESS) degree program provides students with the knowledge and ability to integrate the latest science into real-world decision making. Our affiliation with CSU’s Natural Resource Ecology Laboratory, with a 45-year history of world-class ecosystem research, gives undergraduate students opportunities to gain hands-on research experience while developing solutions to today’s most pressing challenges. Learn about the challenges humans face in sustainably managing ecosystem services, but also about the amazing ways in which organisms interact with their environments to form complex ecosystems, and cutting-edge integrative solutions for sustainability.",Colorado State University,828,,,Curriculum,,Biological Sciences (includes Ecology),Sustainability Studies & Science,,ecosystems,,,,,Baccalaureate degree,,,,,,http://warnercnr.colostate.edu/ess-undergraduate-study/degree-tracks/565-ess-degree-track-ess/667-ess-ess-degree
"Fish, Wildlife & Conservation Biology (Bachelor)","Foundation coursework in areas of biology, maths/calculus, chemistry, physics, and an introduction to wildlife biology. This foundation builds towards a more specific higher level coursework and is designed to provide excellent pathway for internships, wildlife and natural resource-related careers, and/or graduate studies and research",Colorado State University,828,,,Curriculum,,Biological Sciences (includes Ecology),Environmental Studies & Sciences,,wildlife,biology,,,,Baccalaureate degree,,,,,,http://warnercnr.colostate.edu/fwcb-undergraduate-study/undergraduate-program
Conservation Biology (BS),"The courses associated with this major reflect the interdisciplinary and holistic nature of conservation biology. After obtaining a foundation in basic science communication, and general education subjects, students learn the evolutionary and ecological forces that have generated the patterns of biodiversity around us, through courses in organismal biology, evolutionary and systematic biology, population biology, ecology and ecosystem science. ",State University of New York College of Environmental Science and Forestry,1404,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,conservation,,,,Baccalaureate degree,,,,,,http://www.esf.edu/efb/consbio/
Environmental Biology (BS),"The curriculum for the bachelor of science degree in environmental biology is built around a core of required courses that provides a general education, a background in the principles of biological and physical science, and an orientation to natural resources and other environmental concerns. ",State University of New York College of Environmental Science and Forestry,1404,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,,,,,Baccalaureate degree,,,,,,http://www.esf.edu/efb/envbio/
Ecosystem Science & Policy; Marine Ecosystems & Society (BA/BS),The Ecosystem Science and Policy program offers two undergraduate degrees: a Bachelor of Science (B. S. ) and a Bachelor of Arts (B. A. ). Students earning a B. S. in ECS must also complete a science track to deepen their understanding of a specific area. Students earning a B. A. in ECS complete a series of courses with a stronger social science focus. ,University of Miami,1743,,,Curriculum,,Biological Sciences (includes Ecology),,,ecosystems,,,,,Baccalaureate degree,,,,,,http://www.as.miami.edu/ecs/about-the-program/
Conservation Biology (PSM),"The Professional Science Master’s (PSM) in Conservation Biology provides students with high-quality training in evaluating, understanding, and providing solutions to society’s conservation challenges. The program teaches relevant skills, provides expertise to meet workforce needs and prepares graduates for careers in the public and private sectors. ",University of Central Florida,2006,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,conservation,,,,Master's Degree,,,,,,https://www.graduate.ucf.edu/ConservationBiologyPSM/
Conservation Biology Graduate Certificate,"The graduate Conservation Biology Certificate enables studens to extend thier BS degree into conservation theory and application, based on 12 credit hours of graduate courses, including a Zoo and Aquarium Biology and Management course taught at Disney’s Animal Kingdom.",University of Central Florida,2006,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,conservation,,,,Graduate Certificate/Diploma,,,,,,https://sciences.ucf.edu/biology/graduate-program/conservation-biology-certificate/
Conservation Biology (MS),An interdisciplinary field of research for students drawing on natural and social sciences with the aim of protecting species and their habitats. Research topics include: environmental issues; status and trend analysis; threats to biodiversity; conservation priorities; strategy development; as well as ethics and values. ,University of Alberta,2224,,,Curriculum,,Biological Sciences (includes Ecology),Environmental Studies & Sciences,,biology,conservation,,,,Master's Degree,,,,,,http://www.rr.ualberta.ca/GraduateProgram/
Conservation Biology (PhD),An interdisciplinary field of research for students drawing on natural and social sciences with the aim of protecting species and their habitats. Research topics include: environmental issues; status and trend analysis; threats to biodiversity; conservation priorities; strategy development; as well as ethics and values. ,University of Alberta,2224,,,Curriculum,,Biological Sciences (includes Ecology),Environmental Studies & Sciences,,biology,conservation,,,,Doctoral Degree,,,,,,http://www.rr.ualberta.ca/GraduateProgram/
Natural Resources Minor in Biology,"This degree provides students with the opportunity to grow as professional stewards, while gaining valuable scientific knowledge and hands-on experience in managing precious natural resources. This is an exemplary sustainability degree. ",Central Michigan University,2763,,,Curriculum,,Biological Sciences (includes Ecology),,,natural resources,,,,,Minor,,,,,,https://go.cmich.edu/academics/Undergraduate/Find_Program/Pages/Biology_Natural_Resources.aspx
"Fish, Wildlife & Conservation & Ecology (BS)","Our Department prepares students for a career in conservation and management of fish, wildlife and their habitats. ",New Mexico State University,3590,,,Curriculum,,Biological Sciences (includes Ecology),,,wildlife,conservation,,,,Baccalaureate degree,,,,,,http://aces.nmsu.edu/academics/fws/untitled.html
Wildlife Sciences (MS),"We apply traditional and emerging scientific methods to understand the ecology of fish and wildlife and use this knowledge for conservation and management. We strive for excellence in research, teaching and outreach with our efforts focused on the diverse ecosystems of the American Southwest and northern Mexico. ",New Mexico State University,3590,,,Curriculum,,Biological Sciences (includes Ecology),,,wildlife,,,,,Master's Degree,,,,,,http://aces.nmsu.edu/academics/fws/
Applied & Environmental Biology (MS),The program emphasizes research designed to understand responses and adaptations in biological systems at cellular and molecular levels as well as at the community and ecological level. ,Missouri University of Science and Technology,3594,,,Curriculum,,Biological Sciences (includes Ecology),Environmental Studies & Sciences,,biology,,,,,Master's Degree,,,,,,http://biosci.mst.edu/academicprograms/gradbiologicalscience/
Urban Ecology BA/BS,"The undergraduate degree in Urban Ecology focuses on exploring the interrelationships among social, environmental and economic systems, with an aim toward enhancing the vitality and sustainability of places and communities. ",University of Utah,3994,,,Curriculum,,Biological Sciences (includes Ecology),"Urban, Community & Regional Planning",,ecology,urban focus,,,,Baccalaureate degree,,,,,,http://plan.cap.utah.edu/bachelor-of-science-bachelor-of-arts/
Bioenergy Minor,"The Bioenergy Minor focuses on bioenergy concepts and issues and offers students an opportunity to gain significant research experience and skills. This interdisciplinary minor is open to all majors. It is an excellent complement to agricultural sciences, engineering, forestry, environmental sciences, business, education and social science majors. ",Oregon State University,4044,,,Curriculum,Energy,Biological Sciences (includes Ecology),,,biofuels,,,,,Minor,,,,,,http://agsci.oregonstate.edu/bioenergy/bioenergy-minor
Rangeland Ecology & Management (MS),"Oregon State University's Department of Rangeland Ecology and Management offers the master of science, master of agriculture, and Ph. D. degrees. The department is accredited by the Society for Range Management who is recognized throughout the country as one of the leading institutions of rangeland management. Upon completion of the degree, the graduate should have a fundamental and comprehensive understanding of rangeland ecology and management. This understanding will be achieved by study with professors who have specific knowledge and unique perspectives on the many facets of rangeland science. ",Oregon State University,4044,,,Curriculum,,Biological Sciences (includes Ecology),,,ecology,,,,,Master's Degree,,,,,,http://gradschool.oregonstate.edu/programs/6220/rangeland-ecology-and-management-phd-mag-ms-minor
Rangeland Ecology & Management (PhD),"Oregon State University's Department of Rangeland Ecology and Management offers the master of science, master of agriculture, and Ph. D. degrees. The department is accredited by the Society for Range Management who is recognized throughout the country as one of the leading institutions of rangeland management. Upon completion of the degree, the graduate should have a fundamental and comprehensive understanding of rangeland ecology and management. This understanding will be achieved by study with professors who have specific knowledge and unique perspectives on the many facets of rangeland science. ",Oregon State University,4044,,,Curriculum,,Biological Sciences (includes Ecology),,,ecology,,,,,Doctoral Degree,,,,,,http://gradschool.oregonstate.edu/programs/6220/rangeland-ecology-and-management-phd-mag-ms-minor
Bioenergy Graduate Certificate,"The graduate certificate in Bioenergy is designed specifically for current and aspiring practitioners who seek advanced skills for growing the bioenergy industry. To accommodate participation by working professionals the program is offered through Penn State's World Campus by Renewable Energy and Sustainability Systems (RESS) graduate program. In addition to Bioenergy, the RESS program offers certificates in Solar Energy, Sustainability Management and Policy, and Wind Energy",Pennsylvania State University,4190,,,Curriculum,,Biological Sciences (includes Ecology),Technology & Trades,,biofuels,,,,,Graduate Certificate/Diploma,,,,,,https://www.ress.psu.edu/certificates
BioRenewable Systems (MS),"Biorenewable Systems are the structures and processes that create and support biologically-based products capable of being continuously replaced through sound technology and management. BRS is positioned to be a world-renowned graduate program in renewable biologically-based materials, products, and processes that fully integrates scientific research with the principles of systems technology, business, management, marketing, leadership development, and entrepreneurship for biorenewable systems. ",Pennsylvania State University,4190,,,Curriculum,Energy,Biological Sciences (includes Ecology),,,renewable energy,,,,,Master's Degree,,,,,,http://abe.psu.edu/graduateprograms/brs
BioRenewable Systems (PhD),"Biorenewable Systems are the structures and processes that create and support biologically-based products capable of being continuously replaced through sound technology and management. BRS is positioned to be a world-renowned graduate program in renewable biologically-based materials, products, and processes that fully integrates scientific research with the principles of systems technology, business, management, marketing, leadership development, and entrepreneurship for biorenewable systems. ",Pennsylvania State University,4190,,,Curriculum,Energy,Biological Sciences (includes Ecology),,,renewable energy,,,,,Doctoral Degree,,,,,,http://abe.psu.edu/graduateprograms/brs
"Biology & Society Concentration, Biological Sciences (BS)","The BS program in biology and society focuses on training biology students to understand the social context of their science, to ask how and why a biological problem has been and should be studied. Students explore the ways in which policy decisions shape and are shaped by biological research and they investigate the meaning and significance of the life sciences in understanding our complex world. ",Arizona State University,4531,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,conservation,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/LABSCSBS/undergrad/false
"Conservation Biology & Ecology Concentration, Biological Sciences (BS)","Conservation biologists at ASU investigate the impact of humans on Earth's biodiversity and develop practical approaches to prevent the extinction of species and promote the sustainable use of biological resources. Some investigate the causes of ecosystem degradation and use ecological principles to reestablish desired conditions within a range of ecosystems, including rivers, wetlands, grasslands, urban landscapes and forests. ",Arizona State University,4531,,,Curriculum,,Biological Sciences (includes Ecology),,,ecology,biology,conservation,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/LABSCCBS/undergrad/false
"Environmental Science Concentration, Biology (BS)","By learning in an integrative environment that underscores the connectedness of these disciplines, students gain a better understanding of larger scientific concepts and they can view these concepts from multiple perspectives. Students pursuing this concentration will take a set of courses which focus more on environmental science than those pursuing a BS in biology. While the emphasis is on science, students will learn to approach environmental science from an interdisciplinary perspective, in part by studying environmental ethics and policy. Graduates are prepared for entry-level employment in the growing field of environmental science (which includes topics such as environmental consulting, environmental remediation, and natural resource management) and are prepared for graduate programs in environmental science or related disciplines. ",Arizona State University,4531,,,Curriculum,,Biological Sciences (includes Ecology),Environmental Studies & Sciences,,environmental science,biology,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ASLSCEBS/undergrad/false
Biological Sciences (AS),"The Biology curriculum at the College of Lake County is a two-year program leading to an Associate in Science Degree. The program offers courses that prepare students for continued study toward a baccalaureate degree in Botany, Ecology, Microbiology, Wildlife Management or Zoology. ",College of Lake County,5054,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,,,,,Associate (2-year) degree,,,,,,http://www.clcillinois.edu/programs/bio
Environmental Biology (BS),"This interdisciplinary program examines ecosystems with a focus on how living organisms interact with their environment. A major in Environmental Biology will accommodate a wide variety of student interests and aspirations, including a career in environmental science or as preparation for more advanced study. ",University of Saskatchewan,7859,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,,,,,Baccalaureate degree,,,,,,http://www.usask.ca/programs/colleges-schools/arts-science/environmental-biology/index.php
Biological Science - Aquaculture (Bachelor),"Students will experience a diverse range of study and complete core courses like Biological Discovery and Introduction to Aquaculture, before moving on to specialized courses in culture techniques of salt and freshwater algae, crustaceans, finfish and mollusks. Guided by highly qualified faculty, students will work in teaching laboratories and high-tech research labs, choosing a specialty as early as their sophomore year. ",Florida Institute of Technology,7962,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,,,,,Baccalaureate degree,,,,,,http://www.fit.edu/programs/7026/bs-biological-sciences-aquaculture#.WCosRk3ru70
Biological Science - Marine Biology  (Bachelor),"Marine biology encompasses so much of the biology of these oceans and marine organisms, from viruses to whales, molecular biology and global warming. Studying for a marine biology degree can include a wide variety of other scientific disciplines, from aquaculture and oceanography to chemistry, meteorology and zoology. ",Florida Institute of Technology,7962,,,Curriculum,,Biological Sciences (includes Ecology),,,biology,,,,,Baccalaureate degree,,,,,,http://www.fit.edu/programs/7023/bs-biological-sciences-marine#.WCosPE3ru70
